+--------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   |                                                A_common |                                                  A_cstm |                                                   A_opt |                                                E_common |                                                  E_cstm |                                                   E_opt |                                                L_common |                                                  L_cstm |                                                   L_opt |                                             Util_common |                                               Util_cstm |                                                Util_opt |                                             chip_common |                                               chip_cstm |                                                chip_opt |
|              |  ['LASTLEVELMAXPOOL', '0.008'], ['UPSAMPLER', '0.000'], |                                                         |                                                         |  ['LASTLEVELMAXPOOL', '0.000'], ['UPSAMPLER', '0.000'], |                                                         |                                                         |  ['LASTLEVELMAXPOOL', '0.001'], ['UPSAMPLER', '0.001'], |                                                         |                                                         |           ['SIGMOID', '0.000'], ['MAXPOOL2D', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |   ['CONV2D', '21.825'], ['ADAPTIVEAVGPOOL2D', '0.008'], |                                                         |                                                         |    ['CONV2D', '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         |    ['CONV2D', '0.001'], ['ADAPTIVEAVGPOOL2D', '0.001'], |                                                         |                                                         |  ['LASTLEVELMAXPOOL', '0.001'], ['UPSAMPLER', '1.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                   ['PERMUTE', '0.000']] |                                                         |                                                         |                                   ['PERMUTE', '0.000']] |                                                         |                                                         |                                   ['PERMUTE', '0.001']] |                                                         |                                                         |  ['CONV2D', '1149883468832.000'], ['ADAPTIVEAVGPOOL2D', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                         '0.000'], ['PERMUTE', '2.000']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|     gpt      |           [['ROIALIGN', '0.008'], ['LINEAR', '21.825'], |               [['CONV1D', '87.821'], ['GELU', '0.063']] |     [['CONV1D', '87.821'], ['GELU', '0.063'], ['PRELU', |            [['ROIALIGN', '0.000'], ['LINEAR', '0.000'], |                [['CONV1D', '0.000'], ['GELU', '0.000']] |      [['CONV1D', '0.000'], ['GELU', '0.000'], ['PRELU', |            [['ROIALIGN', '0.001'], ['LINEAR', '0.001'], |                [['CONV1D', '0.001'], ['GELU', '0.001']] |      [['CONV1D', '0.001'], ['GELU', '0.001'], ['PRELU', |                      [['ROIALIGN', '0.000'], ['LINEAR', |      [['CONV1D', '10871635968.000'], ['GELU', '0.001']] |      [['CONV1D', '10871635968.000'], ['GELU', '0.001'], |             [{'ROIALIGN', 'LINEAR', 'FLATTEN', 'RELU6', |                                    [{'CONV1D', 'GELU'}] |                           [{'CONV1D', 'GELU', 'PRELU'}] |
|              |               ['FLATTEN', '0.000'], ['RELU6', '0.063'], |                                                         |                                               '0.063']] |               ['FLATTEN', '0.000'], ['RELU6', '0.000'], |                                                         |                                               '0.000']] |               ['FLATTEN', '0.001'], ['RELU6', '0.001'], |                                                         |                                               '0.001']] |   '3378493797376.000'], ['FLATTEN', '2.000'], ['RELU6', |                                                         |                                     ['PRELU', '0.000']] |        'MOBILEBERTPOOLER', 'TANH'}, {'CONVTRANSPOSE1D', |                                                         |                                                         |
|              |       ['MOBILEBERTPOOLER', '0.008'], ['TANH', '0.038'], |                                                         |                                                         |       ['MOBILEBERTPOOLER', '0.000'], ['TANH', '0.000'], |                                                         |                                                         |       ['MOBILEBERTPOOLER', '0.001'], ['TANH', '0.001'], |                                                         |                                                         |       '0.000'], ['MOBILEBERTPOOLER', '0.000'], ['TANH', |                                                         |                                                         |     'AVGPOOL2D', 'CONVTRANSPOSE2D', 'RELU'}, {'CONV1D', |                                                         |                                                         |
|              |  ['CONVTRANSPOSE1D', '21.825'], ['AVGPOOL2D', '0.008'], |                                                         |                                                         |   ['CONVTRANSPOSE1D', '0.000'], ['AVGPOOL2D', '0.000'], |                                                         |                                                         |   ['CONVTRANSPOSE1D', '0.001'], ['AVGPOOL2D', '0.001'], |                                                         |                                                         |             '0.000'], ['CONVTRANSPOSE1D', '49152.000'], |                                                         |                                                         |      'GELU', 'PRELU'}, {'SILU', 'MEANSHIFT', 'SIGMOID', |                                                         |                                                         |
|              |       ['CONVTRANSPOSE2D', '21.825'], ['RELU', '0.063'], |                                                         |                                                         |        ['CONVTRANSPOSE2D', '0.000'], ['RELU', '0.000'], |                                                         |                                                         |        ['CONVTRANSPOSE2D', '0.001'], ['RELU', '0.001'], |                                                         |                                                         |             ['AVGPOOL2D', '0.000'], ['CONVTRANSPOSE2D', |                                                         |                                                         | 'MAXPOOL2D', 'LASTLEVELMAXPOOL', 'UPSAMPLER', 'CONV2D', |                                                         |                                                         |
|              |      ['CONV1D', '21.825'], ['GELU', '0.063'], ['PRELU', |                                                         |                                                         |       ['CONV1D', '0.000'], ['GELU', '0.000'], ['PRELU', |                                                         |                                                         |       ['CONV1D', '0.001'], ['GELU', '0.001'], ['PRELU', |                                                         |                                                         |          '12845056.000'], ['RELU', '0.007'], ['CONV1D', |                                                         |                                                         |                        'ADAPTIVEAVGPOOL2D', 'PERMUTE'}] |                                                         |                                                         |
