|  Algorithm   |  A-Gen | A-Cstm | A-Opt |    A-% |    L-Gen |   L-Cstm |    L-Opt |     L-% |      E-Gen |     E-Cstm |      E-Opt |     E-% | pD-Gen | pD-Cstm | pD-Opt |    pD-% | c2c-Opt-L | c2c-Cstm-L | noc_c2c diff-L |   c2c-Opt-E | c2c-Cstm-E | network_c2c diff-E |                                                                                                                                                                                                                                                                                   Debug-Gen |                                                                                                                                                                                                                                                                                  Debug-Cstm |                                                                                                                                                                                                                                                                                   Debug-Opt |      RE-Gen |     RE-Cstm |      RE-Opt | DDR Latency-Gen | DDR Latency-Cstm | DDR Latency-Opt | DDR latency- error between gen and opt | DDR latency- error between cstm and opt | noc latency- cstm | noc latency- opt | noc latency- error between cstm and opt | noc energy- cstm | noc energy- opt | noc energy- error between cstm and opt |
+--------------+--------+--------+-------+--------+----------+----------+----------+---------+------------+------------+------------+---------+--------+---------+--------+---------+-----------+------------+----------------+-------------+------------+--------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-------------+-------------+-----------------+------------------+-----------------+----------------------------------------+-----------------------------------------+-------------------+------------------+-----------------------------------------+------------------+-----------------+----------------------------------------+
| Training set |        |        |       |        |          |          |          |         |            |            |            |         |        |         |        |         |           |            |                |             |            |                    |                                                                                                                                                                                                                                                                                             |                                                                                                                                                                                                                                                                                             |                                                                                                                                                                                                                                                                                             |             |             |             |                 |                  |                 |                                        |                                         |                   |                  |                                         |                  |                 |                                        |
|  peanutRCNN  | 110.25 |  72.25 | 72.25 | 0.000% |  153.781 |  153.781 |  153.781 |  0.000% | 101162.650 | 101162.650 | 101162.650 |  0.000% |  5.967 |   9.105 |  9.105 |  0.000% |   0.00277 |    0.00277 |          0.000 |     0.34833 |    0.34833 |              0.000 | [['CONV2D', '0.000', '1060255032576000000.000'], ['LASTLEVELMAXPOOL', '0.000', '1228.800'], ['RELU', '0.000', '1.312'], ['ROIALIGN', '0.000', '0.484'], ['FLATTEN', '0.000', '1000000.000'], ['LINEAR', '0.000', '13940736000000.000'], ['CONVTRANSPOSE2D', '0.000', '12845056000000.000']] | [['CONV2D', '0.000', '1060255032576000000.000'], ['LASTLEVELMAXPOOL', '0.000', '1228.800'], ['RELU', '0.000', '1.312'], ['ROIALIGN', '0.000', '0.484'], ['FLATTEN', '0.000', '1000000.000'], ['LINEAR', '0.000', '13940736000000.000'], ['CONVTRANSPOSE2D', '0.000', '12845056000000.000']] | [['CONV2D', '0.000', '1060255032576000000.000'], ['LASTLEVELMAXPOOL', '0.000', '1228.800'], ['RELU', '0.000', '1.312'], ['ROIALIGN', '0.000', '0.484'], ['FLATTEN', '0.000', '1000000.000'], ['LINEAR', '0.000', '13940736000000.000'], ['CONVTRANSPOSE2D', '0.000', '12845056000000.000']] | 6719125.799 | 4056375.280 | 4056375.280 |       85004.261 |        85004.261 |       85004.261 |                                 0.000% |                                  0.000% |            21.441 |           21.441 |                                  0.000% |         2662.121 |        2662.121 |                                 0.000% |
| mobilenetv2  | 110.25 |  90.25 | 90.25 | 0.000% |    0.497 |    0.478 |    0.465 | -2.746% |     69.890 |     69.890 |     67.635 | -3.227% |  1.276 |   1.619 |  1.611 | -0.494% |   0.00164 |    0.31692 |          0.000 |     0.20639 |   39.97682 |             -0.000 |                                                                                                                                                                        [['CONV2D', '0.000', '299494272000000.000'], ['RELU6', '0.000', '95.403'], ['LINEAR', '0.000', '1280000000000.000']] |                                                                                                                                                                        [['CONV2D', '0.000', '299494272000000.000'], ['RELU6', '0.000', '95.403'], ['LINEAR', '0.000', '1280000000000.000']] |                                                                                                                                                                        [['CONV2D', '0.000', '299494272000000.000'], ['RELU6', '0.000', '95.403'], ['LINEAR', '0.000', '1280000000000.000']] | 6719125.799 | 5469349.046 | 5470719.766 |          24.227 |           22.021 |          22.021 |                               -10.015% |                                  0.000% |             0.016 |            0.318 |                               1903.093% |            1.971 |          39.487 |                              1903.210% |
|    swint     | 110.25 |  90.25 | 90.25 | 0.000% |    1.111 |    0.846 |    0.846 | -0.010% |    524.461 |    522.326 |    522.312 | -0.003% |  4.281 |   6.840 |  6.840 |  0.007% |   0.00785 |    0.00982 |         -0.000 |     0.99065 |    1.23831 |              0.000 |                                                    [['CONV2D', '0.000', '14450688000000.000'], ['PERMUTE', '0.000', '2000000.000'], ['LINEAR', '0.000', '4893063168000000.000'], ['GELU', '0.000', '89.376'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.588'], ['FLATTEN', '0.000', '1000000.000']] |                                                    [['CONV2D', '0.000', '14450688000000.000'], ['PERMUTE', '0.000', '2000000.000'], ['LINEAR', '0.000', '4893063168000000.000'], ['GELU', '0.000', '89.376'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.588'], ['FLATTEN', '0.000', '1000000.000']] |                                                    [['CONV2D', '0.000', '14450688000000.000'], ['PERMUTE', '0.000', '2000000.000'], ['LINEAR', '0.000', '4893063168000000.000'], ['GELU', '0.000', '89.376'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.588'], ['FLATTEN', '0.000', '1000000.000']] | 6719125.799 | 5469449.660 | 5470719.766 |           6.596 |            6.596 |           6.596 |                                 0.000% |                                  0.000% |             0.525 |            0.527 |                                  0.358% |           65.180 |          65.413 |                                 0.358% |
|  squeezenet  | 110.25 |  90.25 | 90.25 | 0.000% |    0.232 |    0.209 |    0.209 |  0.000% |     50.290 |     49.324 |     49.324 |  0.000% |  1.965 |   2.618 |  2.618 |  0.000% |   0.00000 |    0.00000 |          0.000 |     0.00000 |    0.00000 |              0.000 |                                                                                                                                         [['CONV2D', '0.000', '349151936000000.000'], ['RELU', '0.000', '40.462'], ['MAXPOOL2D', '0.000', '4.092'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.016']] |                                                                                                                                         [['CONV2D', '0.000', '349151936000000.000'], ['RELU', '0.000', '40.462'], ['MAXPOOL2D', '0.000', '4.092'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.016']] |                                                                                                                                         [['CONV2D', '0.000', '349151936000000.000'], ['RELU', '0.000', '40.462'], ['MAXPOOL2D', '0.000', '4.092'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.016']] | 6719125.799 | 5873237.312 | 5873264.005 |          28.052 |           25.854 |          25.854 |                                -8.502% |                                  0.000% |             0.136 |            0.136 |                                  0.000% |           16.888 |          16.888 |                                 0.000% |
|     edsr     | 110.25 |  90.25 | 90.25 | 0.000% |   12.689 |    6.875 |    6.875 |  0.000% |   6215.162 |   6195.989 |   6195.989 |  0.000% |  4.443 |   9.986 |  9.986 |  0.000% |   0.00000 |    0.00000 |          0.000 |     0.00000 |    0.00000 |              0.000 |                                                                                                                                        [['MEANSHIFT', '0.000', '4.704'], ['CONV2D', '0.000', '61213114368000000.000'], ['RELU', '0.000', '802.816'], ['UPSAMPLER', '0.000', '1000000.000']] |                                                                                                                                        [['MEANSHIFT', '0.000', '4.704'], ['CONV2D', '0.000', '61213114368000000.000'], ['RELU', '0.000', '802.816'], ['UPSAMPLER', '0.000', '1000000.000']] |                                                                                                                                        [['MEANSHIFT', '0.000', '4.704'], ['CONV2D', '0.000', '61213114368000000.000'], ['RELU', '0.000', '802.816'], ['UPSAMPLER', '0.000', '1000000.000']] | 6719125.799 | 5873065.267 | 5873264.005 |        4922.004 |         4908.136 |        4908.136 |                                -0.283% |                                  0.000% |             4.102 |            4.102 |                                  0.000% |          509.290 |         509.290 |                                 0.000% |
|   chronos    | 110.25 |  90.25 | 90.25 | 0.000% |    0.902 |    0.889 |    0.889 |  0.000% |    443.867 |    443.109 |    443.109 |  0.000% |  4.463 |   5.525 |  5.525 |  0.000% |   0.00000 |    0.00000 |          0.000 |     0.00000 |    0.00000 |              0.000 |                                                                                                                                                                                                                  [['LINEAR', '0.000', '3758096384000000.000'], ['RELU', '0.000', '40.960']] |                                                                                                                                                                                                                  [['LINEAR', '0.000', '3758096384000000.000'], ['RELU', '0.000', '40.960']] |                                                                                                                                                                                                                  [['LINEAR', '0.000', '3758096384000000.000'], ['RELU', '0.000', '40.960']] | 6719125.799 | 5873038.575 | 5875197.325 |           2.593 |            2.593 |           2.593 |                                 0.000% |                                  0.000% |             0.757 |            0.757 |                                  0.000% |           93.982 |          93.982 |                                 0.000% |
|  mobilevit   | 110.25 |  90.25 | 90.25 | 0.000% |    1.026 |    0.960 |    0.986 |  2.726% |    155.611 |    155.611 |    160.103 |  2.887% |  1.376 |   1.797 |  1.800 |  0.157% |   0.63312 |    0.00507 |         -0.000 |    79.86277 |    0.63906 |              0.000 |                                                                                                                                                                        [['CONV2D', '0.000', '807456768000000.000'], ['SILU', '0.000', '188.536'], ['LINEAR', '0.000', '3889152000000.000']] |                                                                                                                                                                        [['CONV2D', '0.000', '807456768000000.000'], ['SILU', '0.000', '188.536'], ['LINEAR', '0.000', '3889152000000.000']] |                                                                                                                                                                        [['CONV2D', '0.000', '807456768000000.000'], ['SILU', '0.000', '188.536'], ['LINEAR', '0.000', '3889152000000.000']] | 6719125.799 | 5469349.046 | 5470719.766 |          65.824 |           63.481 |          63.481 |                                -3.691% |                                  0.000% |             0.641 |            0.039 |                                -93.886% |           79.598 |           4.866 |                               -93.887% |
|  convtasnet  | 110.25 |  90.25 | 90.25 | 0.000% |    0.623 |    0.624 |    0.624 |  0.000% |    167.616 |    167.616 |    167.616 |  0.000% |  2.439 |   2.977 |  2.977 |  0.000% |   0.00705 |    0.00705 |          0.000 |     0.88956 |    0.88956 |              0.000 |                                                                                                                                   [['CONV1D', '0.000', '1292206080000000.000'], ['PRELU', '0.000', '101.904'], ['RELU', '0.000', '4.224'], ['CONVTRANSPOSE1D', '0.000', '49152000000.000']] |                                                                                                                                   [['CONV1D', '0.000', '1292206080000000.000'], ['PRELU', '0.000', '101.904'], ['RELU', '0.000', '4.224'], ['CONVTRANSPOSE1D', '0.000', '49152000000.000']] |                                                                                                                                   [['CONV1D', '0.000', '1292206080000000.000'], ['PRELU', '0.000', '101.904'], ['RELU', '0.000', '4.224'], ['CONVTRANSPOSE1D', '0.000', '49152000000.000']] | 6719125.799 | 5472610.629 | 5473401.063 |         105.968 |          105.968 |         105.968 |                                 0.000% |                                  0.000% |             0.376 |            0.376 |                                  0.000% |           46.676 |          46.676 |                                 0.000% |
|    effnet    | 110.25 |  90.25 | 90.25 | 0.000% |    0.535 |    0.512 |    0.520 |  1.612% |     76.188 |     76.620 |     78.037 |  1.849% |  1.292 |   1.658 |  1.662 |  0.234% |   0.26016 |    0.06204 |          0.000 |    32.81599 |    7.82569 |             -0.000 |                                                                                                 [['CONV2D', '0.000', '384534752000000.000'], ['SILU', '0.000', '96.358'], ['ADAPTIVEAVGPOOL2D', '0.000', '1.126'], ['SIGMOID', '0.000', '0.102'], ['LINEAR', '0.000', '1280000000000.000']] |                                                                                                 [['CONV2D', '0.000', '384534752000000.000'], ['SILU', '0.000', '96.358'], ['ADAPTIVEAVGPOOL2D', '0.000', '1.126'], ['SIGMOID', '0.000', '0.102'], ['LINEAR', '0.000', '1280000000000.000']] |                                                                                                 [['CONV2D', '0.000', '384534752000000.000'], ['SILU', '0.000', '96.358'], ['ADAPTIVEAVGPOOL2D', '0.000', '1.126'], ['SIGMOID', '0.000', '0.102'], ['LINEAR', '0.000', '1280000000000.000']] | 6719125.799 | 5469827.467 | 5470719.766 |          31.065 |           29.187 |          29.187 |                                -6.433% |                                  0.000% |             0.265 |            0.076 |                                -71.538% |           32.952 |           9.379 |                               -71.538% |
|  mobilellm   | 110.25 |  90.25 | 90.25 | 0.000% |   13.511 |   13.363 |   13.363 |  0.000% |   2718.378 |   2717.966 |   2717.966 |  0.000% |  1.825 |   2.254 |  2.254 |  0.000% |   0.00000 |    0.00000 |          0.000 |     0.00000 |    0.00000 |              0.000 |                                                                                                                                                                                                               [['LINEAR', '0.000', '13589544960000000.000'], ['SILU', '0.000', '1036.800']] |                                                                                                                                                                                                               [['LINEAR', '0.000', '13589544960000000.000'], ['SILU', '0.000', '1036.800']] |                                                                                                                                                                                                               [['LINEAR', '0.000', '13589544960000000.000'], ['SILU', '0.000', '1036.800']] | 6719125.799 | 5873038.575 | 5875197.325 |          11.974 |           11.974 |          11.974 |                                 0.000% |                                  0.000% |            11.723 |           11.723 |                                  0.000% |         1455.497 |        1455.497 |                                 0.000% |
|     opt      | 110.25 |  90.25 | 90.25 | 0.000% |    2.885 |    2.805 |    2.805 |  0.000% |   1285.037 |   1284.597 |   1284.597 |  0.000% |  4.040 |   5.075 |  5.075 |  0.000% |   0.00000 |    0.00000 |          0.000 |     0.00000 |    0.00000 |              0.000 |                                                                                                                                                                                                                [['LINEAR', '0.000', '10871635968000000.000'], ['RELU', '0.000', '221.184']] |                                                                                                                                                                                                                [['LINEAR', '0.000', '10871635968000000.000'], ['RELU', '0.000', '221.184']] |                                                                                                                                                                                                                [['LINEAR', '0.000', '10871635968000000.000'], ['RELU', '0.000', '221.184']] | 6719125.799 | 5873038.575 | 5875197.325 |           8.681 |            8.681 |           8.681 |                                 0.000% |                                  0.000% |             2.212 |            2.212 |                                  0.000% |          274.622 |         274.622 |                                 0.000% |
|    gptneo    | 110.25 |  90.25 | 90.25 | 0.000% |    3.208 |    3.129 |    3.129 |  0.000% |   1325.095 |   1324.875 |   1324.875 |  0.000% |  3.747 |   4.692 |  4.692 |  0.000% |   0.00000 |    0.00000 |          0.000 |     0.00000 |    0.00000 |              0.000 |                                                                                                                                                                                                                [['LINEAR', '0.000', '10871635968000000.000'], ['GELU', '0.000', '221.184']] |                                                                                                                                                                                                                [['LINEAR', '0.000', '10871635968000000.000'], ['GELU', '0.000', '221.184']] |                                                                                                                                                                                                                [['LINEAR', '0.000', '10871635968000000.000'], ['GELU', '0.000', '221.184']] | 6719125.799 | 5873038.575 | 5875197.325 |           8.681 |            8.681 |           8.681 |                                 0.000% |                                  0.000% |             2.536 |            2.536 |                                  0.000% |          314.900 |         314.900 |                                 0.000% |
|  distilbert  | 110.25 |  90.25 | 90.25 | 0.000% |   26.783 |   26.038 |   26.038 |  0.000% |   2813.119 |   2685.754 |   2685.754 |  0.000% |  0.953 |   1.143 |  1.143 |  0.000% |   0.00000 |    0.00000 |          0.000 |     0.00000 |    0.00000 |              0.000 |                                                                                                                                                                        [['LINEAR', '0.000', '2592079872000000.000'], ['RELU', '0.000', '5898.240'], ['MOBILEBERTPOOLER', '0.000', '0.256']] |                                                                                                                                                                        [['LINEAR', '0.000', '2592079872000000.000'], ['RELU', '0.000', '5898.240'], ['MOBILEBERTPOOLER', '0.000', '0.256']] |                                                                                                                                                                        [['LINEAR', '0.000', '2592079872000000.000'], ['RELU', '0.000', '5898.240'], ['MOBILEBERTPOOLER', '0.000', '0.256']] | 6719125.799 | 5873137.944 | 5875197.325 |           4.714 |            4.714 |           4.714 |                                 0.000% |                                  0.000% |            19.692 |           19.692 |                                  0.000% |         2444.950 |        2444.950 |                                 0.000% |
|    vgg11     | 110.25 |  90.25 | 90.25 | 0.000% |    2.109 |    1.205 |    1.194 | -0.919% |    760.643 |    759.774 |    757.872 | -0.250% |  3.271 |   6.987 |  7.034 |  0.675% |   0.00108 |    0.26702 |          0.000 |     0.13647 |   33.68207 |              0.000 |                                                                                          [['CONV2D', '0.000', '7485456384000000.000'], ['RELU', '0.000', '116.160'], ['MAXPOOL2D', '0.000', '23.912'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.392'], ['LINEAR', '0.000', '123633664000000.000']] |                                                                                          [['CONV2D', '0.000', '7485456384000000.000'], ['RELU', '0.000', '116.160'], ['MAXPOOL2D', '0.000', '23.912'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.392'], ['LINEAR', '0.000', '123633664000000.000']] |                                                                                          [['CONV2D', '0.000', '7485456384000000.000'], ['RELU', '0.000', '116.160'], ['MAXPOOL2D', '0.000', '23.912'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.392'], ['LINEAR', '0.000', '123633664000000.000']] | 6719125.799 | 5469547.774 | 5470719.766 |         611.202 |          604.268 |         604.268 |                                -1.148% |                                  0.000% |             0.155 |            0.410 |                                164.743% |           19.208 |          50.851 |                               164.744% |
+--------------+--------+--------+-------+--------+----------+----------+----------+---------+------------+------------+------------+---------+--------+---------+--------+---------+-----------+------------+----------------+-------------+------------+--------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-------------+-------------+-----------------+------------------+-----------------+----------------------------------------+-----------------------------------------+-------------------+------------------+-----------------------------------------+------------------+-----------------+----------------------------------------+
