+--------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   |                                                A_common |                                                  A_cstm |                                                   A_opt |                                                E_common |                                                  E_cstm |                                                   E_opt |                                                L_common |                                                  L_cstm |                                                   L_opt |                                             Util_common |                                               Util_cstm |                                                Util_opt |                                             chip_common |                                               chip_cstm |                                                chip_opt |
|    vgg16     |   [['RELU', '0.032'], ['RELU6', '0.032'], ['AVGPOOL2D', |  [['RELU', '0.032'], ['MAXPOOL2D', '0.004'], ['CONV2D', |  [['RELU', '0.032'], ['MAXPOOL2D', '0.004'], ['CONV2D', |   [['RELU', '0.000'], ['RELU6', '0.000'], ['AVGPOOL2D', |  [['RELU', '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |  [['RELU', '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |   [['RELU', '0.001'], ['RELU6', '0.001'], ['AVGPOOL2D', |  [['RELU', '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', |  [['RELU', '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', |   [['RELU', '0.001'], ['RELU6', '0.000'], ['AVGPOOL2D', |  [['RELU', '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |  [['RELU', '0.001'], ['MAXPOOL2D', '0.000'], ['CONV2D', |            [{'RELU', 'MAXPOOL2D', 'CONV2D', 'ROIALIGN', |            [{'RELU', 'CONV2D', 'MAXPOOL2D'}, {'LINEAR', | [{'RELU', 'MAXPOOL2D', 'CONV2D', 'RELU6', 'AVGPOOL2D'}, |
|              | '0.004'], ['MAXPOOL2D', '0.004'], ['CONV2D', '43.649'], |  '87.299'], ['LINEAR', '87.299'], ['ADAPTIVEAVGPOOL2D', |  '87.299'], ['RELU6', '0.032'], ['AVGPOOL2D', '0.004'], |  '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', '0.000'], |    '0.000'], ['LINEAR', '0.000'], ['ADAPTIVEAVGPOOL2D', |   '0.000'], ['RELU6', '0.000'], ['AVGPOOL2D', '0.000'], |  '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', '0.063'], |    '0.095'], ['LINEAR', '0.095'], ['ADAPTIVEAVGPOOL2D', |   '0.095'], ['RELU6', '0.001'], ['AVGPOOL2D', '0.001'], |            '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |        '15346630656.000'], ['LINEAR', '123633664.000'], |   '26080239616.000'], ['RELU6', '0.000'], ['AVGPOOL2D', |         'CONVTRANSPOSE2D', 'LASTLEVELMAXPOOL', 'RELU6', |                                   'ADAPTIVEAVGPOOL2D'}] |                {'GELU', 'PERMUTE', 'FLATTEN', 'LINEAR', |
|              |   ['ROIALIGN', '0.004'], ['CONVTRANSPOSE2D', '43.649'], |                                               '0.004']] |    ['GELU', '0.032'], ['PERMUTE', '0.000'], ['FLATTEN', |    ['ROIALIGN', '0.000'], ['CONVTRANSPOSE2D', '0.000'], |                                               '0.000']] |    ['GELU', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |    ['ROIALIGN', '0.001'], ['CONVTRANSPOSE2D', '0.063'], |                                               '0.001']] |    ['GELU', '0.001'], ['PERMUTE', '0.001'], ['FLATTEN', |             '199270896896.000'], ['ROIALIGN', '0.000'], |                         ['ADAPTIVEAVGPOOL2D', '0.000']] |      '0.000'], ['GELU', '0.000'], ['PERMUTE', '0.000'], |    'AVGPOOL2D'}, {'GELU', 'PERMUTE', 'TANH', 'FLATTEN', |                                                         |                                   'ADAPTIVEAVGPOOL2D'}] |
|              |       ['LASTLEVELMAXPOOL', '0.004'], ['GELU', '0.032'], |                                                         |   '0.000'], ['LINEAR', '87.299'], ['ADAPTIVEAVGPOOL2D', |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |    '0.000'], ['LINEAR', '0.000'], ['ADAPTIVEAVGPOOL2D', |       ['LASTLEVELMAXPOOL', '0.001'], ['GELU', '0.001'], |                                                         |    '0.001'], ['LINEAR', '0.095'], ['ADAPTIVEAVGPOOL2D', |                    ['CONVTRANSPOSE2D', '12845056.000'], |                                                         |     ['FLATTEN', '0.000'], ['LINEAR', '4984696832.000'], |       'SILU', 'LINEAR', 'ADAPTIVEAVGPOOL2D', 'CONV1D'}] |                                                         |                                                         |
|              |    ['TANH', '0.019'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                               '0.004']] |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                               '0.000']] |    ['TANH', '0.001'], ['PERMUTE', '0.001'], ['FLATTEN', |                                                         |                                               '0.001']] |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |                         ['ADAPTIVEAVGPOOL2D', '0.000']] |                                                         |                                                         |                                                         |
|              |      '0.000'], ['SILU', '0.032'], ['LINEAR', '43.649'], |                                                         |                                                         |       '0.000'], ['SILU', '0.000'], ['LINEAR', '0.000'], |                                                         |                                                         |       '0.001'], ['SILU', '0.001'], ['LINEAR', '0.063'], |                                                         |                                                         |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |   ['ADAPTIVEAVGPOOL2D', '0.004'], ['CONV1D', '43.649']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.000'], ['CONV1D', '0.000']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.001'], ['CONV1D', '0.063']] |                                                         |                                                         |                 '0.000'], ['SILU', '0.000'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |     '60491376640.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                          ['CONV1D', '86347087872.000']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|   resnet18   |   [['RELU', '0.032'], ['RELU6', '0.032'], ['AVGPOOL2D', |  [['RELU', '0.032'], ['MAXPOOL2D', '0.004'], ['CONV2D', |  [['RELU', '0.032'], ['MAXPOOL2D', '0.004'], ['CONV2D', |   [['RELU', '0.000'], ['RELU6', '0.000'], ['AVGPOOL2D', |  [['RELU', '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |  [['RELU', '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |   [['RELU', '0.001'], ['RELU6', '0.001'], ['AVGPOOL2D', |  [['RELU', '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', |  [['RELU', '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', |   [['RELU', '0.001'], ['RELU6', '0.000'], ['AVGPOOL2D', |  [['RELU', '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |  [['RELU', '0.001'], ['MAXPOOL2D', '0.000'], ['CONV2D', |            [{'RELU', 'MAXPOOL2D', 'CONV2D', 'ROIALIGN', |            [{'RELU', 'CONV2D', 'MAXPOOL2D'}, {'LINEAR', | [{'RELU', 'MAXPOOL2D', 'CONV2D', 'RELU6', 'AVGPOOL2D'}, |
|              | '0.004'], ['MAXPOOL2D', '0.004'], ['CONV2D', '43.649'], |  '87.299'], ['LINEAR', '87.299'], ['ADAPTIVEAVGPOOL2D', |  '87.299'], ['RELU6', '0.032'], ['AVGPOOL2D', '0.004'], |  '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', '0.000'], |    '0.000'], ['LINEAR', '0.000'], ['ADAPTIVEAVGPOOL2D', |   '0.000'], ['RELU6', '0.000'], ['AVGPOOL2D', '0.000'], |  '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', '0.063'], |    '0.095'], ['LINEAR', '0.095'], ['ADAPTIVEAVGPOOL2D', |   '0.095'], ['RELU6', '0.001'], ['AVGPOOL2D', '0.001'], |            '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |             '895008768.000'], ['LINEAR', '512000.000'], |   '26080239616.000'], ['RELU6', '0.000'], ['AVGPOOL2D', |         'CONVTRANSPOSE2D', 'LASTLEVELMAXPOOL', 'RELU6', |                                   'ADAPTIVEAVGPOOL2D'}] |                {'GELU', 'PERMUTE', 'FLATTEN', 'LINEAR', |
|              |   ['ROIALIGN', '0.004'], ['CONVTRANSPOSE2D', '43.649'], |                                               '0.004']] |    ['GELU', '0.032'], ['PERMUTE', '0.000'], ['FLATTEN', |    ['ROIALIGN', '0.000'], ['CONVTRANSPOSE2D', '0.000'], |                                               '0.000']] |    ['GELU', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |    ['ROIALIGN', '0.001'], ['CONVTRANSPOSE2D', '0.063'], |                                               '0.001']] |    ['GELU', '0.001'], ['PERMUTE', '0.001'], ['FLATTEN', |             '199270896896.000'], ['ROIALIGN', '0.000'], |                         ['ADAPTIVEAVGPOOL2D', '0.000']] |      '0.000'], ['GELU', '0.000'], ['PERMUTE', '0.000'], |    'AVGPOOL2D'}, {'GELU', 'PERMUTE', 'TANH', 'FLATTEN', |                                                         |                                   'ADAPTIVEAVGPOOL2D'}] |
|              |       ['LASTLEVELMAXPOOL', '0.004'], ['GELU', '0.032'], |                                                         |   '0.000'], ['LINEAR', '87.299'], ['ADAPTIVEAVGPOOL2D', |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |    '0.000'], ['LINEAR', '0.000'], ['ADAPTIVEAVGPOOL2D', |       ['LASTLEVELMAXPOOL', '0.001'], ['GELU', '0.001'], |                                                         |    '0.001'], ['LINEAR', '0.095'], ['ADAPTIVEAVGPOOL2D', |                    ['CONVTRANSPOSE2D', '12845056.000'], |                                                         |     ['FLATTEN', '0.000'], ['LINEAR', '4984696832.000'], |       'SILU', 'LINEAR', 'ADAPTIVEAVGPOOL2D', 'CONV1D'}] |                                                         |                                                         |
|              |    ['TANH', '0.019'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                               '0.004']] |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                               '0.000']] |    ['TANH', '0.001'], ['PERMUTE', '0.001'], ['FLATTEN', |                                                         |                                               '0.001']] |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |                         ['ADAPTIVEAVGPOOL2D', '0.000']] |                                                         |                                                         |                                                         |
|              |      '0.000'], ['SILU', '0.032'], ['LINEAR', '43.649'], |                                                         |                                                         |       '0.000'], ['SILU', '0.000'], ['LINEAR', '0.000'], |                                                         |                                                         |       '0.001'], ['SILU', '0.001'], ['LINEAR', '0.063'], |                                                         |                                                         |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |   ['ADAPTIVEAVGPOOL2D', '0.004'], ['CONV1D', '43.649']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.000'], ['CONV1D', '0.000']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.001'], ['CONV1D', '0.063']] |                                                         |                                                         |                 '0.000'], ['SILU', '0.000'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |     '60491376640.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                          ['CONV1D', '86347087872.000']] |                                                         |                                                         |                                                         |                                                         |                                                         |
| densenet121  |   [['RELU', '0.032'], ['RELU6', '0.032'], ['AVGPOOL2D', |  [['RELU', '0.032'], ['MAXPOOL2D', '0.004'], ['CONV2D', |  [['RELU', '0.032'], ['MAXPOOL2D', '0.004'], ['CONV2D', |   [['RELU', '0.000'], ['RELU6', '0.000'], ['AVGPOOL2D', |  [['RELU', '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |  [['RELU', '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |   [['RELU', '0.001'], ['RELU6', '0.001'], ['AVGPOOL2D', |  [['RELU', '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', |  [['RELU', '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', |   [['RELU', '0.001'], ['RELU6', '0.000'], ['AVGPOOL2D', |  [['RELU', '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |  [['RELU', '0.001'], ['MAXPOOL2D', '0.000'], ['CONV2D', |            [{'RELU', 'MAXPOOL2D', 'CONV2D', 'ROIALIGN', |             [{'RELU', 'CONV2D', 'LINEAR', 'MAXPOOL2D'}, | [{'RELU', 'MAXPOOL2D', 'CONV2D', 'RELU6', 'AVGPOOL2D'}, |
|              | '0.004'], ['MAXPOOL2D', '0.004'], ['CONV2D', '43.649'], |          '87.821'], ['LINEAR', '87.821'], ['AVGPOOL2D', |  '87.299'], ['RELU6', '0.032'], ['AVGPOOL2D', '0.004'], |  '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', '0.000'], |  '0.000'], ['LINEAR', '0.000'], ['AVGPOOL2D', '0.000']] |   '0.000'], ['RELU6', '0.000'], ['AVGPOOL2D', '0.000'], |  '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', '0.063'], |  '0.095'], ['LINEAR', '0.095'], ['AVGPOOL2D', '0.001']] |   '0.095'], ['RELU6', '0.001'], ['AVGPOOL2D', '0.001'], |            '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |           '2833137664.000'], ['LINEAR', '1024000.000'], |   '26080239616.000'], ['RELU6', '0.000'], ['AVGPOOL2D', |         'CONVTRANSPOSE2D', 'LASTLEVELMAXPOOL', 'RELU6', |                                          {'AVGPOOL2D'}] |                {'GELU', 'PERMUTE', 'FLATTEN', 'LINEAR', |
|              |   ['ROIALIGN', '0.004'], ['CONVTRANSPOSE2D', '43.649'], |                                               '0.004']] |    ['GELU', '0.032'], ['PERMUTE', '0.000'], ['FLATTEN', |    ['ROIALIGN', '0.000'], ['CONVTRANSPOSE2D', '0.000'], |                                                         |    ['GELU', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |    ['ROIALIGN', '0.001'], ['CONVTRANSPOSE2D', '0.063'], |                                                         |    ['GELU', '0.001'], ['PERMUTE', '0.001'], ['FLATTEN', |             '199270896896.000'], ['ROIALIGN', '0.000'], |                                 ['AVGPOOL2D', '0.000']] |      '0.000'], ['GELU', '0.000'], ['PERMUTE', '0.000'], |    'AVGPOOL2D'}, {'GELU', 'PERMUTE', 'TANH', 'FLATTEN', |                                                         |                                   'ADAPTIVEAVGPOOL2D'}] |
|              |       ['LASTLEVELMAXPOOL', '0.004'], ['GELU', '0.032'], |                                                         |   '0.000'], ['LINEAR', '87.299'], ['ADAPTIVEAVGPOOL2D', |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |    '0.000'], ['LINEAR', '0.000'], ['ADAPTIVEAVGPOOL2D', |       ['LASTLEVELMAXPOOL', '0.001'], ['GELU', '0.001'], |                                                         |    '0.001'], ['LINEAR', '0.095'], ['ADAPTIVEAVGPOOL2D', |                    ['CONVTRANSPOSE2D', '12845056.000'], |                                                         |     ['FLATTEN', '0.000'], ['LINEAR', '4984696832.000'], |       'SILU', 'LINEAR', 'ADAPTIVEAVGPOOL2D', 'CONV1D'}] |                                                         |                                                         |
|              |    ['TANH', '0.019'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                               '0.004']] |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                               '0.000']] |    ['TANH', '0.001'], ['PERMUTE', '0.001'], ['FLATTEN', |                                                         |                                               '0.001']] |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |                         ['ADAPTIVEAVGPOOL2D', '0.000']] |                                                         |                                                         |                                                         |
|              |      '0.000'], ['SILU', '0.032'], ['LINEAR', '43.649'], |                                                         |                                                         |       '0.000'], ['SILU', '0.000'], ['LINEAR', '0.000'], |                                                         |                                                         |       '0.001'], ['SILU', '0.001'], ['LINEAR', '0.063'], |                                                         |                                                         |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |   ['ADAPTIVEAVGPOOL2D', '0.004'], ['CONV1D', '43.649']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.000'], ['CONV1D', '0.000']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.001'], ['CONV1D', '0.063']] |                                                         |                                                         |                 '0.000'], ['SILU', '0.000'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |     '60491376640.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                          ['CONV1D', '86347087872.000']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|  peanutRCNN  |   [['RELU', '0.032'], ['RELU6', '0.032'], ['AVGPOOL2D', |  [['RELU', '0.032'], ['FLATTEN', '0.000'], ['ROIALIGN', |  [['RELU', '0.032'], ['FLATTEN', '0.000'], ['ROIALIGN', |   [['RELU', '0.000'], ['RELU6', '0.000'], ['AVGPOOL2D', |  [['RELU', '0.000'], ['FLATTEN', '0.000'], ['ROIALIGN', |  [['RELU', '0.000'], ['FLATTEN', '0.000'], ['ROIALIGN', |   [['RELU', '0.001'], ['RELU6', '0.001'], ['AVGPOOL2D', |  [['RELU', '0.001'], ['FLATTEN', '0.001'], ['ROIALIGN', |  [['RELU', '0.001'], ['FLATTEN', '0.001'], ['ROIALIGN', |   [['RELU', '0.001'], ['RELU6', '0.000'], ['AVGPOOL2D', |  [['RELU', '0.000'], ['FLATTEN', '0.000'], ['ROIALIGN', |  [['RELU', '0.000'], ['FLATTEN', '0.000'], ['ROIALIGN', |            [{'RELU', 'MAXPOOL2D', 'CONV2D', 'ROIALIGN', |     [{'RELU', 'FLATTEN', 'ROIALIGN', 'CONVTRANSPOSE2D', |     [{'RELU', 'FLATTEN', 'ROIALIGN', 'CONVTRANSPOSE2D', |
|              | '0.004'], ['MAXPOOL2D', '0.004'], ['CONV2D', '43.649'], |     '0.004'], ['CONVTRANSPOSE2D', '43.649'], ['LINEAR', |     '0.004'], ['CONVTRANSPOSE2D', '43.649'], ['LINEAR', |  '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', '0.000'], |      '0.000'], ['CONVTRANSPOSE2D', '0.000'], ['LINEAR', |      '0.000'], ['CONVTRANSPOSE2D', '0.000'], ['LINEAR', |  '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', '0.063'], |      '0.001'], ['CONVTRANSPOSE2D', '0.063'], ['LINEAR', |      '0.001'], ['CONVTRANSPOSE2D', '0.063'], ['LINEAR', |            '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |          '0.000'], ['CONVTRANSPOSE2D', '12845056.000'], |          '0.000'], ['CONVTRANSPOSE2D', '12845056.000'], |         'CONVTRANSPOSE2D', 'LASTLEVELMAXPOOL', 'RELU6', |              'LINEAR'}, {'LASTLEVELMAXPOOL', 'CONV2D'}] |              'LINEAR'}, {'LASTLEVELMAXPOOL', 'CONV2D'}] |
|              |   ['ROIALIGN', '0.004'], ['CONVTRANSPOSE2D', '43.649'], |    '43.649'], ['LASTLEVELMAXPOOL', '0.004'], ['CONV2D', |    '43.649'], ['LASTLEVELMAXPOOL', '0.004'], ['CONV2D', |    ['ROIALIGN', '0.000'], ['CONVTRANSPOSE2D', '0.000'], |     '0.000'], ['LASTLEVELMAXPOOL', '0.000'], ['CONV2D', |     '0.000'], ['LASTLEVELMAXPOOL', '0.000'], ['CONV2D', |    ['ROIALIGN', '0.001'], ['CONVTRANSPOSE2D', '0.063'], |     '0.063'], ['LASTLEVELMAXPOOL', '0.001'], ['CONV2D', |     '0.063'], ['LASTLEVELMAXPOOL', '0.001'], ['CONV2D', |             '199270896896.000'], ['ROIALIGN', '0.000'], |        ['LINEAR', '13940736.000'], ['LASTLEVELMAXPOOL', |        ['LINEAR', '13940736.000'], ['LASTLEVELMAXPOOL', |    'AVGPOOL2D'}, {'GELU', 'PERMUTE', 'TANH', 'FLATTEN', |                                                         |                                                         |
|              |       ['LASTLEVELMAXPOOL', '0.004'], ['GELU', '0.032'], |                                              '43.649']] |                                              '43.649']] |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                               '0.000']] |                                               '0.000']] |       ['LASTLEVELMAXPOOL', '0.001'], ['GELU', '0.001'], |                                               '0.063']] |                                               '0.063']] |                    ['CONVTRANSPOSE2D', '12845056.000'], |               '0.000'], ['CONV2D', '173190657280.000']] |               '0.000'], ['CONV2D', '173190657280.000']] |       'SILU', 'LINEAR', 'ADAPTIVEAVGPOOL2D', 'CONV1D'}] |                                                         |                                                         |
|              |    ['TANH', '0.019'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |    ['TANH', '0.001'], ['PERMUTE', '0.001'], ['FLATTEN', |                                                         |                                                         |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |      '0.000'], ['SILU', '0.032'], ['LINEAR', '43.649'], |                                                         |                                                         |       '0.000'], ['SILU', '0.000'], ['LINEAR', '0.000'], |                                                         |                                                         |       '0.001'], ['SILU', '0.001'], ['LINEAR', '0.063'], |                                                         |                                                         |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |   ['ADAPTIVEAVGPOOL2D', '0.004'], ['CONV1D', '43.649']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.000'], ['CONV1D', '0.000']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.001'], ['CONV1D', '0.063']] |                                                         |                                                         |                 '0.000'], ['SILU', '0.000'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |     '60491376640.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                          ['CONV1D', '86347087872.000']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|   resnet50   |   [['RELU', '0.032'], ['RELU6', '0.032'], ['AVGPOOL2D', |  [['RELU', '0.032'], ['MAXPOOL2D', '0.004'], ['CONV2D', |  [['RELU', '0.032'], ['MAXPOOL2D', '0.004'], ['CONV2D', |   [['RELU', '0.000'], ['RELU6', '0.000'], ['AVGPOOL2D', |  [['RELU', '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |  [['RELU', '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |   [['RELU', '0.001'], ['RELU6', '0.001'], ['AVGPOOL2D', |  [['RELU', '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', |  [['RELU', '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', |   [['RELU', '0.001'], ['RELU6', '0.000'], ['AVGPOOL2D', |  [['RELU', '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |  [['RELU', '0.001'], ['MAXPOOL2D', '0.000'], ['CONV2D', |            [{'RELU', 'MAXPOOL2D', 'CONV2D', 'ROIALIGN', |            [{'RELU', 'CONV2D', 'MAXPOOL2D'}, {'LINEAR', | [{'RELU', 'MAXPOOL2D', 'CONV2D', 'RELU6', 'AVGPOOL2D'}, |
|              | '0.004'], ['MAXPOOL2D', '0.004'], ['CONV2D', '43.649'], |  '87.299'], ['LINEAR', '87.299'], ['ADAPTIVEAVGPOOL2D', |  '87.299'], ['RELU6', '0.032'], ['AVGPOOL2D', '0.004'], |  '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', '0.000'], |    '0.000'], ['LINEAR', '0.000'], ['ADAPTIVEAVGPOOL2D', |   '0.000'], ['RELU6', '0.000'], ['AVGPOOL2D', '0.000'], |  '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', '0.063'], |    '0.095'], ['LINEAR', '0.095'], ['ADAPTIVEAVGPOOL2D', |   '0.095'], ['RELU6', '0.001'], ['AVGPOOL2D', '0.001'], |            '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |           '1443151872.000'], ['LINEAR', '2048000.000'], |   '26080239616.000'], ['RELU6', '0.000'], ['AVGPOOL2D', |         'CONVTRANSPOSE2D', 'LASTLEVELMAXPOOL', 'RELU6', |                                   'ADAPTIVEAVGPOOL2D'}] |                {'GELU', 'PERMUTE', 'FLATTEN', 'LINEAR', |
|              |   ['ROIALIGN', '0.004'], ['CONVTRANSPOSE2D', '43.649'], |                                               '0.004']] |    ['GELU', '0.032'], ['PERMUTE', '0.000'], ['FLATTEN', |    ['ROIALIGN', '0.000'], ['CONVTRANSPOSE2D', '0.000'], |                                               '0.000']] |    ['GELU', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |    ['ROIALIGN', '0.001'], ['CONVTRANSPOSE2D', '0.063'], |                                               '0.001']] |    ['GELU', '0.001'], ['PERMUTE', '0.001'], ['FLATTEN', |             '199270896896.000'], ['ROIALIGN', '0.000'], |                         ['ADAPTIVEAVGPOOL2D', '0.000']] |      '0.000'], ['GELU', '0.000'], ['PERMUTE', '0.000'], |    'AVGPOOL2D'}, {'GELU', 'PERMUTE', 'TANH', 'FLATTEN', |                                                         |                                   'ADAPTIVEAVGPOOL2D'}] |
|              |       ['LASTLEVELMAXPOOL', '0.004'], ['GELU', '0.032'], |                                                         |   '0.000'], ['LINEAR', '87.299'], ['ADAPTIVEAVGPOOL2D', |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |    '0.000'], ['LINEAR', '0.000'], ['ADAPTIVEAVGPOOL2D', |       ['LASTLEVELMAXPOOL', '0.001'], ['GELU', '0.001'], |                                                         |    '0.001'], ['LINEAR', '0.095'], ['ADAPTIVEAVGPOOL2D', |                    ['CONVTRANSPOSE2D', '12845056.000'], |                                                         |     ['FLATTEN', '0.000'], ['LINEAR', '4984696832.000'], |       'SILU', 'LINEAR', 'ADAPTIVEAVGPOOL2D', 'CONV1D'}] |                                                         |                                                         |
|              |    ['TANH', '0.019'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                               '0.004']] |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                               '0.000']] |    ['TANH', '0.001'], ['PERMUTE', '0.001'], ['FLATTEN', |                                                         |                                               '0.001']] |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |                         ['ADAPTIVEAVGPOOL2D', '0.000']] |                                                         |                                                         |                                                         |
