+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   | ANC-Gen | ANC-Cstm | ANC-Opt | AEC-Gen | AEC-Cstm | AEC-Opt | CNU-Gen | CNU-Cstm | CNU-Opt | CEU-Gen | CEU-Cstm | CEU-Opt |                                              Config-Gen |                                             Config-Cstm |                                              Config-Opt |
+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
| Training set |         |          |         |         |          |         |         |          |         |         |          |         |                                                         |                                                         |                                                         |
|     moe      | 100.000 |  100.000 | 100.000 | 100.000 |  100.000 | 100.000 |   0.125 |    1.000 |   0.500 |   0.080 |    1.000 |   0.500 |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 64, 'no_modules': |  {'row_PE': 64, 'col_PE': 64, 'n_SA': 64, 'no_modules': |  {'row_PE': 64, 'col_PE': 64, 'n_SA': 64, 'no_modules': |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                                     32} |                                                     32} |                                                     32} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |          ['RELU', 'RELU6', 'AVGPOOL2D', 'GELU', 'TANH', |                                      ['LINEAR', 'SILU'] |                      ['GELU', 'LINEAR', 'SILU', 'TANH'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |    'PERMUTE', 'FLATTEN', 'MAXPOOL2D', 'CONV2D', 'SILU', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'ROIALIGN', 'CONVTRANSPOSE2D', 'LASTLEVELMAXPOOL', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                'LINEAR', 'ADAPTIVEAVGPOOL2D', 'CONV1D'] |                                                         |                                                         |
|   whisper    | 100.000 |  100.000 | 100.000 | 100.000 |   99.972 |  99.972 |   0.188 |    1.000 |   1.000 |   0.160 |    1.000 |   1.000 |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 64, 'no_modules': |  {'row_PE': 32, 'col_PE': 64, 'n_SA': 64, 'no_modules': |  {'row_PE': 32, 'col_PE': 64, 'n_SA': 64, 'no_modules': |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                                     32} |                                                     32} |                                                     32} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |          ['RELU', 'RELU6', 'AVGPOOL2D', 'GELU', 'TANH', |                            ['GELU', 'LINEAR', 'CONV1D'] |                            ['GELU', 'LINEAR', 'CONV1D'] |
