+--------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   |                                                A_common |                                                  A_cstm |                                                   A_opt |                                                E_common |                                                  E_cstm |                                                   E_opt |                                                L_common |                                                  L_cstm |                                                   L_opt |                                             Util_common |                                               Util_cstm |                                                Util_opt |                                             chip_common |                                               chip_cstm |                                                chip_opt |
|    vgg16     |            [['AVGPOOL2D', '0.002'], ['RELU6', '0.016'], |  [['ADAPTIVEAVGPOOL2D', '0.002'], ['LINEAR', '21.825'], |        [['AVGPOOL2D', '0.002'], ['MAXPOOL2D', '0.002'], |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |   [['ADAPTIVEAVGPOOL2D', '0.000'], ['LINEAR', '0.000'], |        [['AVGPOOL2D', '0.000'], ['MAXPOOL2D', '0.000'], |            [['AVGPOOL2D', '0.001'], ['RELU6', '0.001'], |   [['ADAPTIVEAVGPOOL2D', '0.001'], ['LINEAR', '0.063'], |        [['AVGPOOL2D', '0.001'], ['MAXPOOL2D', '0.001'], |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |             [['ADAPTIVEAVGPOOL2D', '0.000'], ['LINEAR', |        [['AVGPOOL2D', '0.000'], ['MAXPOOL2D', '0.000'], |         [{'AVGPOOL2D'}, {'RELU6'}, {'CONVTRANSPOSE2D'}, |            [{'ADAPTIVEAVGPOOL2D', 'LINEAR'}, {'CONV2D', | [{'AVGPOOL2D', 'MAXPOOL2D', 'RELU', 'RELU6', 'CONV2D'}, |
|              |   ['CONVTRANSPOSE2D', '21.825'], ['ROIALIGN', '0.002'], |   ['MAXPOOL2D', '0.002'], ['RELU', '0.016'], ['CONV2D', |       ['RELU', '0.016'], ['RELU6', '0.016'], ['CONV2D', |    ['CONVTRANSPOSE2D', '0.000'], ['ROIALIGN', '0.000'], |   ['MAXPOOL2D', '0.000'], ['RELU', '0.000'], ['CONV2D', |       ['RELU', '0.000'], ['RELU6', '0.000'], ['CONV2D', |    ['CONVTRANSPOSE2D', '0.063'], ['ROIALIGN', '0.001'], |   ['MAXPOOL2D', '0.001'], ['RELU', '0.001'], ['CONV2D', |       ['RELU', '0.001'], ['RELU6', '0.001'], ['CONV2D', |       ['CONVTRANSPOSE2D', '12845056.000'], ['ROIALIGN', |      '123633664.000'], ['MAXPOOL2D', '0.000'], ['RELU', |       ['RELU', '0.002'], ['RELU6', '0.000'], ['CONV2D', |                {'ROIALIGN'}, {'MAXPOOL2D'}, {'PERMUTE', |                                   'MAXPOOL2D', 'RELU'}] |      {'ADAPTIVEAVGPOOL2D', 'GELU', 'LINEAR', 'PERMUTE', |
|              | ['MAXPOOL2D', '0.002'], ['ADAPTIVEAVGPOOL2D', '0.002'], |                                              '21.825']] |  '21.825'], ['ADAPTIVEAVGPOOL2D', '0.002'], ['PERMUTE', | ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                               '0.000']] |   '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], ['PERMUTE', | ['MAXPOOL2D', '0.001'], ['ADAPTIVEAVGPOOL2D', '0.001'], |                                               '0.063']] |   '0.063'], ['ADAPTIVEAVGPOOL2D', '0.001'], ['PERMUTE', | '0.000'], ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', |                '0.001'], ['CONV2D', '15346630656.000']] |     '20831873920.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |  'ADAPTIVEAVGPOOL2D', 'FLATTEN'}, {'TANH'}, {'CONV1D'}, |                                                         |                                             'FLATTEN'}] |
|              |    ['TANH', '0.010'], ['CONV1D', '21.825'], ['PERMUTE', |                                                         |      '0.000'], ['GELU', '0.016'], ['LINEAR', '21.825'], |     ['TANH', '0.000'], ['CONV1D', '0.000'], ['PERMUTE', |                                                         |       '0.000'], ['GELU', '0.000'], ['LINEAR', '0.000'], |     ['TANH', '0.001'], ['CONV1D', '0.063'], ['PERMUTE', |                                                         |       '0.001'], ['GELU', '0.001'], ['LINEAR', '0.063'], |                 '0.000'], ['TANH', '0.000'], ['CONV1D', |                                                         |     ['PERMUTE', '0.000'], ['GELU', '0.000'], ['LINEAR', |          {'SILU', 'LINEAR', 'GELU'}, {'CONV2D', 'RELU', |                                                         |                                                         |
|              |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.016'], |                                                         |                                   ['FLATTEN', '0.000']] |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.000'], |                                                         |                                   ['FLATTEN', '0.000']] |      '0.001'], ['FLATTEN', '0.001'], ['SILU', '0.001'], |                                                         |                                   ['FLATTEN', '0.001']] |   '11626610688.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                '5021560832.000'], ['FLATTEN', '0.000']] |                                    'LASTLEVELMAXPOOL'}] |                                                         |                                                         |
|              |     ['LINEAR', '21.825'], ['GELU', '0.016'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.000'], ['GELU', '0.000'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.063'], ['GELU', '0.001'], ['CONV2D', |                                                         |                                                         |                 '0.000'], ['SILU', '0.030'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |      '21.825'], ['LASTLEVELMAXPOOL', '0.002'], ['RELU', |                                                         |                                                         |       '0.000'], ['LASTLEVELMAXPOOL', '0.000'], ['RELU', |                                                         |                                                         |       '0.063'], ['LASTLEVELMAXPOOL', '0.001'], ['RELU', |                                                         |                                                         |     '7167367424000.000'], ['GELU', '0.004'], ['CONV2D', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                               '0.016']] |                                                         |                                                         |                                               '0.000']] |                                                         |                                                         |                                               '0.001']] |                                                         |                                                         |    '3201616684160.000'], ['LASTLEVELMAXPOOL', '0.015'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                      ['RELU', '0.002']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|   resnet18   |            [['AVGPOOL2D', '0.002'], ['RELU6', '0.016'], |  [['ADAPTIVEAVGPOOL2D', '0.002'], ['LINEAR', '21.825'], |        [['AVGPOOL2D', '0.002'], ['MAXPOOL2D', '0.002'], |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |   [['ADAPTIVEAVGPOOL2D', '0.000'], ['LINEAR', '0.000'], |        [['AVGPOOL2D', '0.000'], ['MAXPOOL2D', '0.000'], |            [['AVGPOOL2D', '0.001'], ['RELU6', '0.001'], |   [['ADAPTIVEAVGPOOL2D', '0.001'], ['LINEAR', '0.063'], |        [['AVGPOOL2D', '0.001'], ['MAXPOOL2D', '0.001'], |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |             [['ADAPTIVEAVGPOOL2D', '0.000'], ['LINEAR', |        [['AVGPOOL2D', '0.000'], ['MAXPOOL2D', '0.000'], |         [{'AVGPOOL2D'}, {'RELU6'}, {'CONVTRANSPOSE2D'}, |            [{'ADAPTIVEAVGPOOL2D', 'LINEAR'}, {'CONV2D', | [{'AVGPOOL2D', 'MAXPOOL2D', 'RELU', 'RELU6', 'CONV2D'}, |
|              |   ['CONVTRANSPOSE2D', '21.825'], ['ROIALIGN', '0.002'], |   ['MAXPOOL2D', '0.002'], ['RELU', '0.016'], ['CONV2D', |       ['RELU', '0.016'], ['RELU6', '0.016'], ['CONV2D', |    ['CONVTRANSPOSE2D', '0.000'], ['ROIALIGN', '0.000'], |   ['MAXPOOL2D', '0.000'], ['RELU', '0.000'], ['CONV2D', |       ['RELU', '0.000'], ['RELU6', '0.000'], ['CONV2D', |    ['CONVTRANSPOSE2D', '0.063'], ['ROIALIGN', '0.001'], |   ['MAXPOOL2D', '0.001'], ['RELU', '0.001'], ['CONV2D', |       ['RELU', '0.001'], ['RELU6', '0.001'], ['CONV2D', |       ['CONVTRANSPOSE2D', '12845056.000'], ['ROIALIGN', |         '512000.000'], ['MAXPOOL2D', '0.000'], ['RELU', |       ['RELU', '0.002'], ['RELU6', '0.000'], ['CONV2D', |                {'ROIALIGN'}, {'MAXPOOL2D'}, {'PERMUTE', |                                   'MAXPOOL2D', 'RELU'}] |      {'ADAPTIVEAVGPOOL2D', 'GELU', 'LINEAR', 'PERMUTE', |
|              | ['MAXPOOL2D', '0.002'], ['ADAPTIVEAVGPOOL2D', '0.002'], |                                              '21.825']] |  '21.825'], ['ADAPTIVEAVGPOOL2D', '0.002'], ['PERMUTE', | ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                               '0.000']] |   '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], ['PERMUTE', | ['MAXPOOL2D', '0.001'], ['ADAPTIVEAVGPOOL2D', '0.001'], |                                               '0.063']] |   '0.063'], ['ADAPTIVEAVGPOOL2D', '0.001'], ['PERMUTE', | '0.000'], ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', |                  '0.000'], ['CONV2D', '895008768.000']] |     '20831873920.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |  'ADAPTIVEAVGPOOL2D', 'FLATTEN'}, {'TANH'}, {'CONV1D'}, |                                                         |                                             'FLATTEN'}] |
|              |    ['TANH', '0.010'], ['CONV1D', '21.825'], ['PERMUTE', |                                                         |      '0.000'], ['GELU', '0.016'], ['LINEAR', '21.825'], |     ['TANH', '0.000'], ['CONV1D', '0.000'], ['PERMUTE', |                                                         |       '0.000'], ['GELU', '0.000'], ['LINEAR', '0.000'], |     ['TANH', '0.001'], ['CONV1D', '0.063'], ['PERMUTE', |                                                         |       '0.001'], ['GELU', '0.001'], ['LINEAR', '0.063'], |                 '0.000'], ['TANH', '0.000'], ['CONV1D', |                                                         |     ['PERMUTE', '0.000'], ['GELU', '0.000'], ['LINEAR', |          {'SILU', 'LINEAR', 'GELU'}, {'CONV2D', 'RELU', |                                                         |                                                         |
|              |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.016'], |                                                         |                                   ['FLATTEN', '0.000']] |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.000'], |                                                         |                                   ['FLATTEN', '0.000']] |      '0.001'], ['FLATTEN', '0.001'], ['SILU', '0.001'], |                                                         |                                   ['FLATTEN', '0.001']] |   '11626610688.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                '5021560832.000'], ['FLATTEN', '0.000']] |                                    'LASTLEVELMAXPOOL'}] |                                                         |                                                         |
|              |     ['LINEAR', '21.825'], ['GELU', '0.016'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.000'], ['GELU', '0.000'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.063'], ['GELU', '0.001'], ['CONV2D', |                                                         |                                                         |                 '0.000'], ['SILU', '0.030'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |      '21.825'], ['LASTLEVELMAXPOOL', '0.002'], ['RELU', |                                                         |                                                         |       '0.000'], ['LASTLEVELMAXPOOL', '0.000'], ['RELU', |                                                         |                                                         |       '0.063'], ['LASTLEVELMAXPOOL', '0.001'], ['RELU', |                                                         |                                                         |     '7167367424000.000'], ['GELU', '0.004'], ['CONV2D', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                               '0.016']] |                                                         |                                                         |                                               '0.000']] |                                                         |                                                         |                                               '0.001']] |                                                         |                                                         |    '3201616684160.000'], ['LASTLEVELMAXPOOL', '0.015'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                      ['RELU', '0.002']] |                                                         |                                                         |                                                         |                                                         |                                                         |
| densenet121  |            [['AVGPOOL2D', '0.002'], ['RELU6', '0.016'], |        [['AVGPOOL2D', '0.002'], ['MAXPOOL2D', '0.002'], |        [['AVGPOOL2D', '0.002'], ['MAXPOOL2D', '0.002'], |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |        [['AVGPOOL2D', '0.000'], ['MAXPOOL2D', '0.000'], |        [['AVGPOOL2D', '0.000'], ['MAXPOOL2D', '0.000'], |            [['AVGPOOL2D', '0.001'], ['RELU6', '0.001'], |        [['AVGPOOL2D', '0.001'], ['MAXPOOL2D', '0.001'], |        [['AVGPOOL2D', '0.001'], ['MAXPOOL2D', '0.001'], |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |        [['AVGPOOL2D', '0.000'], ['MAXPOOL2D', '0.000'], |        [['AVGPOOL2D', '0.000'], ['MAXPOOL2D', '0.000'], |         [{'AVGPOOL2D'}, {'RELU6'}, {'CONVTRANSPOSE2D'}, |           [{'AVGPOOL2D', 'MAXPOOL2D', 'LINEAR', 'RELU', | [{'AVGPOOL2D', 'MAXPOOL2D', 'RELU', 'RELU6', 'CONV2D'}, |
|              |   ['CONVTRANSPOSE2D', '21.825'], ['ROIALIGN', '0.002'], |     ['LINEAR', '21.825'], ['RELU', '0.016'], ['CONV2D', |       ['RELU', '0.016'], ['RELU6', '0.016'], ['CONV2D', |    ['CONVTRANSPOSE2D', '0.000'], ['ROIALIGN', '0.000'], |      ['LINEAR', '0.000'], ['RELU', '0.000'], ['CONV2D', |       ['RELU', '0.000'], ['RELU6', '0.000'], ['CONV2D', |    ['CONVTRANSPOSE2D', '0.063'], ['ROIALIGN', '0.001'], |      ['LINEAR', '0.063'], ['RELU', '0.001'], ['CONV2D', |       ['RELU', '0.001'], ['RELU6', '0.001'], ['CONV2D', |       ['CONVTRANSPOSE2D', '12845056.000'], ['ROIALIGN', |           ['LINEAR', '1024000.000'], ['RELU', '0.000'], |       ['RELU', '0.002'], ['RELU6', '0.000'], ['CONV2D', |                {'ROIALIGN'}, {'MAXPOOL2D'}, {'PERMUTE', |                                              'CONV2D'}] |      {'ADAPTIVEAVGPOOL2D', 'GELU', 'LINEAR', 'PERMUTE', |
|              | ['MAXPOOL2D', '0.002'], ['ADAPTIVEAVGPOOL2D', '0.002'], |                                              '21.825']] |  '21.825'], ['ADAPTIVEAVGPOOL2D', '0.002'], ['PERMUTE', | ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                               '0.000']] |   '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], ['PERMUTE', | ['MAXPOOL2D', '0.001'], ['ADAPTIVEAVGPOOL2D', '0.001'], |                                               '0.063']] |   '0.063'], ['ADAPTIVEAVGPOOL2D', '0.001'], ['PERMUTE', | '0.000'], ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', |                           ['CONV2D', '2833137664.000']] |     '20831873920.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |  'ADAPTIVEAVGPOOL2D', 'FLATTEN'}, {'TANH'}, {'CONV1D'}, |                                                         |                                             'FLATTEN'}] |
|              |    ['TANH', '0.010'], ['CONV1D', '21.825'], ['PERMUTE', |                                                         |      '0.000'], ['GELU', '0.016'], ['LINEAR', '21.825'], |     ['TANH', '0.000'], ['CONV1D', '0.000'], ['PERMUTE', |                                                         |       '0.000'], ['GELU', '0.000'], ['LINEAR', '0.000'], |     ['TANH', '0.001'], ['CONV1D', '0.063'], ['PERMUTE', |                                                         |       '0.001'], ['GELU', '0.001'], ['LINEAR', '0.063'], |                 '0.000'], ['TANH', '0.000'], ['CONV1D', |                                                         |     ['PERMUTE', '0.000'], ['GELU', '0.000'], ['LINEAR', |          {'SILU', 'LINEAR', 'GELU'}, {'CONV2D', 'RELU', |                                                         |                                                         |
|              |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.016'], |                                                         |                                   ['FLATTEN', '0.000']] |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.000'], |                                                         |                                   ['FLATTEN', '0.000']] |      '0.001'], ['FLATTEN', '0.001'], ['SILU', '0.001'], |                                                         |                                   ['FLATTEN', '0.001']] |   '11626610688.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                '5021560832.000'], ['FLATTEN', '0.000']] |                                    'LASTLEVELMAXPOOL'}] |                                                         |                                                         |
|              |     ['LINEAR', '21.825'], ['GELU', '0.016'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.000'], ['GELU', '0.000'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.063'], ['GELU', '0.001'], ['CONV2D', |                                                         |                                                         |                 '0.000'], ['SILU', '0.030'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |      '21.825'], ['LASTLEVELMAXPOOL', '0.002'], ['RELU', |                                                         |                                                         |       '0.000'], ['LASTLEVELMAXPOOL', '0.000'], ['RELU', |                                                         |                                                         |       '0.063'], ['LASTLEVELMAXPOOL', '0.001'], ['RELU', |                                                         |                                                         |     '7167367424000.000'], ['GELU', '0.004'], ['CONV2D', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                               '0.016']] |                                                         |                                                         |                                               '0.000']] |                                                         |                                                         |                                               '0.001']] |                                                         |                                                         |    '3201616684160.000'], ['LASTLEVELMAXPOOL', '0.015'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                      ['RELU', '0.002']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|  peanutRCNN  |            [['AVGPOOL2D', '0.002'], ['RELU6', '0.016'], |           [['ROIALIGN', '0.002'], ['FLATTEN', '0.000'], |           [['ROIALIGN', '0.002'], ['FLATTEN', '0.000'], |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |           [['ROIALIGN', '0.000'], ['FLATTEN', '0.000'], |           [['ROIALIGN', '0.000'], ['FLATTEN', '0.000'], |            [['AVGPOOL2D', '0.001'], ['RELU6', '0.001'], |           [['ROIALIGN', '0.001'], ['FLATTEN', '0.001'], |           [['ROIALIGN', '0.001'], ['FLATTEN', '0.001'], |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |           [['ROIALIGN', '0.000'], ['FLATTEN', '0.000'], |           [['ROIALIGN', '0.000'], ['FLATTEN', '0.000'], |         [{'AVGPOOL2D'}, {'RELU6'}, {'CONVTRANSPOSE2D'}, |                   [{'ROIALIGN'}, {'FLATTEN', 'LINEAR'}, |                   [{'ROIALIGN'}, {'FLATTEN', 'LINEAR'}, |
|              |   ['CONVTRANSPOSE2D', '21.825'], ['ROIALIGN', '0.002'], |    ['LINEAR', '21.825'], ['CONVTRANSPOSE2D', '21.825'], |    ['LINEAR', '21.825'], ['CONVTRANSPOSE2D', '21.825'], |    ['CONVTRANSPOSE2D', '0.000'], ['ROIALIGN', '0.000'], |      ['LINEAR', '0.000'], ['CONVTRANSPOSE2D', '0.000'], |      ['LINEAR', '0.000'], ['CONVTRANSPOSE2D', '0.000'], |    ['CONVTRANSPOSE2D', '0.063'], ['ROIALIGN', '0.001'], |      ['LINEAR', '0.063'], ['CONVTRANSPOSE2D', '0.063'], |      ['LINEAR', '0.063'], ['CONVTRANSPOSE2D', '0.063'], |       ['CONVTRANSPOSE2D', '12845056.000'], ['ROIALIGN', |         ['LINEAR', '13940736.000'], ['CONVTRANSPOSE2D', |         ['LINEAR', '13940736.000'], ['CONVTRANSPOSE2D', |                {'ROIALIGN'}, {'MAXPOOL2D'}, {'PERMUTE', |                 {'CONVTRANSPOSE2D', 'RELU'}, {'CONV2D', |                 {'CONVTRANSPOSE2D', 'RELU'}, {'CONV2D', |
|              | ['MAXPOOL2D', '0.002'], ['ADAPTIVEAVGPOOL2D', '0.002'], |                ['RELU', '0.016'], ['CONV2D', '21.825'], |                ['RELU', '0.016'], ['CONV2D', '21.825'], | ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                 ['RELU', '0.000'], ['CONV2D', '0.000'], |                 ['RELU', '0.000'], ['CONV2D', '0.000'], | ['MAXPOOL2D', '0.001'], ['ADAPTIVEAVGPOOL2D', '0.001'], |                 ['RELU', '0.001'], ['CONV2D', '0.063'], |                 ['RELU', '0.001'], ['CONV2D', '0.063'], | '0.000'], ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', |          '12845056.000'], ['RELU', '0.000'], ['CONV2D', |          '12845056.000'], ['RELU', '0.000'], ['CONV2D', |  'ADAPTIVEAVGPOOL2D', 'FLATTEN'}, {'TANH'}, {'CONV1D'}, |                                    'LASTLEVELMAXPOOL'}] |                                    'LASTLEVELMAXPOOL'}] |
|              |    ['TANH', '0.010'], ['CONV1D', '21.825'], ['PERMUTE', |                          ['LASTLEVELMAXPOOL', '0.002']] |                          ['LASTLEVELMAXPOOL', '0.002']] |     ['TANH', '0.000'], ['CONV1D', '0.000'], ['PERMUTE', |                          ['LASTLEVELMAXPOOL', '0.000']] |                          ['LASTLEVELMAXPOOL', '0.000']] |     ['TANH', '0.001'], ['CONV1D', '0.063'], ['PERMUTE', |                          ['LASTLEVELMAXPOOL', '0.001']] |                          ['LASTLEVELMAXPOOL', '0.001']] |                 '0.000'], ['TANH', '0.000'], ['CONV1D', |    '3180784810240.000'], ['LASTLEVELMAXPOOL', '0.015']] |    '3180784810240.000'], ['LASTLEVELMAXPOOL', '0.015']] |          {'SILU', 'LINEAR', 'GELU'}, {'CONV2D', 'RELU', |                                                         |                                                         |
|              |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.016'], |                                                         |                                                         |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.000'], |                                                         |                                                         |      '0.001'], ['FLATTEN', '0.001'], ['SILU', '0.001'], |                                                         |                                                         |   '11626610688.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |                                    'LASTLEVELMAXPOOL'}] |                                                         |                                                         |
|              |     ['LINEAR', '21.825'], ['GELU', '0.016'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.000'], ['GELU', '0.000'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.063'], ['GELU', '0.001'], ['CONV2D', |                                                         |                                                         |                 '0.000'], ['SILU', '0.030'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |      '21.825'], ['LASTLEVELMAXPOOL', '0.002'], ['RELU', |                                                         |                                                         |       '0.000'], ['LASTLEVELMAXPOOL', '0.000'], ['RELU', |                                                         |                                                         |       '0.063'], ['LASTLEVELMAXPOOL', '0.001'], ['RELU', |                                                         |                                                         |     '7167367424000.000'], ['GELU', '0.004'], ['CONV2D', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                               '0.016']] |                                                         |                                                         |                                               '0.000']] |                                                         |                                                         |                                               '0.001']] |                                                         |                                                         |    '3201616684160.000'], ['LASTLEVELMAXPOOL', '0.015'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                      ['RELU', '0.002']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|   resnet50   |            [['AVGPOOL2D', '0.002'], ['RELU6', '0.016'], |  [['ADAPTIVEAVGPOOL2D', '0.002'], ['LINEAR', '21.825'], |        [['AVGPOOL2D', '0.002'], ['MAXPOOL2D', '0.002'], |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |   [['ADAPTIVEAVGPOOL2D', '0.000'], ['LINEAR', '0.000'], |        [['AVGPOOL2D', '0.000'], ['MAXPOOL2D', '0.000'], |            [['AVGPOOL2D', '0.001'], ['RELU6', '0.001'], |   [['ADAPTIVEAVGPOOL2D', '0.001'], ['LINEAR', '0.063'], |        [['AVGPOOL2D', '0.001'], ['MAXPOOL2D', '0.001'], |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |             [['ADAPTIVEAVGPOOL2D', '0.000'], ['LINEAR', |        [['AVGPOOL2D', '0.000'], ['MAXPOOL2D', '0.000'], |         [{'AVGPOOL2D'}, {'RELU6'}, {'CONVTRANSPOSE2D'}, |            [{'ADAPTIVEAVGPOOL2D', 'LINEAR'}, {'CONV2D', | [{'AVGPOOL2D', 'MAXPOOL2D', 'RELU', 'RELU6', 'CONV2D'}, |
|              |   ['CONVTRANSPOSE2D', '21.825'], ['ROIALIGN', '0.002'], |   ['MAXPOOL2D', '0.002'], ['RELU', '0.016'], ['CONV2D', |       ['RELU', '0.016'], ['RELU6', '0.016'], ['CONV2D', |    ['CONVTRANSPOSE2D', '0.000'], ['ROIALIGN', '0.000'], |   ['MAXPOOL2D', '0.000'], ['RELU', '0.000'], ['CONV2D', |       ['RELU', '0.000'], ['RELU6', '0.000'], ['CONV2D', |    ['CONVTRANSPOSE2D', '0.063'], ['ROIALIGN', '0.001'], |   ['MAXPOOL2D', '0.001'], ['RELU', '0.001'], ['CONV2D', |       ['RELU', '0.001'], ['RELU6', '0.001'], ['CONV2D', |       ['CONVTRANSPOSE2D', '12845056.000'], ['ROIALIGN', |        '2048000.000'], ['MAXPOOL2D', '0.000'], ['RELU', |       ['RELU', '0.002'], ['RELU6', '0.000'], ['CONV2D', |                {'ROIALIGN'}, {'MAXPOOL2D'}, {'PERMUTE', |                                   'MAXPOOL2D', 'RELU'}] |      {'ADAPTIVEAVGPOOL2D', 'GELU', 'LINEAR', 'PERMUTE', |
|              | ['MAXPOOL2D', '0.002'], ['ADAPTIVEAVGPOOL2D', '0.002'], |                                              '21.825']] |  '21.825'], ['ADAPTIVEAVGPOOL2D', '0.002'], ['PERMUTE', | ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                               '0.000']] |   '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], ['PERMUTE', | ['MAXPOOL2D', '0.001'], ['ADAPTIVEAVGPOOL2D', '0.001'], |                                               '0.063']] |   '0.063'], ['ADAPTIVEAVGPOOL2D', '0.001'], ['PERMUTE', | '0.000'], ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', |                 '0.000'], ['CONV2D', '1443151872.000']] |     '20831873920.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |  'ADAPTIVEAVGPOOL2D', 'FLATTEN'}, {'TANH'}, {'CONV1D'}, |                                                         |                                             'FLATTEN'}] |
|              |    ['TANH', '0.010'], ['CONV1D', '21.825'], ['PERMUTE', |                                                         |      '0.000'], ['GELU', '0.016'], ['LINEAR', '21.825'], |     ['TANH', '0.000'], ['CONV1D', '0.000'], ['PERMUTE', |                                                         |       '0.000'], ['GELU', '0.000'], ['LINEAR', '0.000'], |     ['TANH', '0.001'], ['CONV1D', '0.063'], ['PERMUTE', |                                                         |       '0.001'], ['GELU', '0.001'], ['LINEAR', '0.063'], |                 '0.000'], ['TANH', '0.000'], ['CONV1D', |                                                         |     ['PERMUTE', '0.000'], ['GELU', '0.000'], ['LINEAR', |          {'SILU', 'LINEAR', 'GELU'}, {'CONV2D', 'RELU', |                                                         |                                                         |
|              |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.016'], |                                                         |                                   ['FLATTEN', '0.000']] |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.000'], |                                                         |                                   ['FLATTEN', '0.000']] |      '0.001'], ['FLATTEN', '0.001'], ['SILU', '0.001'], |                                                         |                                   ['FLATTEN', '0.001']] |   '11626610688.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                '5021560832.000'], ['FLATTEN', '0.000']] |                                    'LASTLEVELMAXPOOL'}] |                                                         |                                                         |
