+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |     layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
|  61  |    45    |       conv2d      |  (13, 13)  |  (13, 13)  |          64         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  62  |    46    |        relu       |  (13, 13)  |  (13, 13)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  65  |    47    |       conv2d      |  (13, 13)  |  (13, 13)  |         512         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  66  |    48    |        relu       |  (13, 13)  |  (13, 13)  |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  67  |    49    |       conv2d      |  (13, 13)  |  (13, 13)  |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  68  |    50    |        relu       |  (13, 13)  |  (13, 13)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  69  |    51    |       conv2d      |  (13, 13)  |  (13, 13)  |          64         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  70  |    52    |        relu       |  (13, 13)  |  (13, 13)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  75  |    53    |       conv2d      |  (13, 13)  |  (13, 13)  |         512         |         1000         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  76  |    54    |        relu       |  (13, 13)  |  (13, 13)  |         1000        |         1000         |      -      |   -    |    -    |   1    |   1   |
|  77  |    55    | adaptiveavgpool2d |  (13, 13)  |   (1, 1)   |         1000        |         1000         |      -      |   -    |    -    |   1    |   1   |
+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
