+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 143  |    44    |   conv2d   |  (14, 14)  |  (14, 14)  |         384         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 150  |    45    |   conv2d   |  (14, 14)  |  (14, 14)  |          64         |         384          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 152  |    46    |   relu6    |  (14, 14)  |  (14, 14)  |         384         |         384          |      -      |   -    |    -    |   1    |   1   |
| 155  |    47    |   conv2d   |  (14, 14)  |  (14, 14)  |         384         |         384          |    (3, 3)   | (1, 1) |  (1, 1) |  384   |   1   |
| 157  |    48    |   relu6    |  (14, 14)  |  (14, 14)  |         384         |         384          |      -      |   -    |    -    |   1    |   1   |
| 159  |    49    |   conv2d   |  (14, 14)  |  (14, 14)  |         384         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 166  |    50    |   conv2d   |  (14, 14)  |  (14, 14)  |          64         |         384          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 168  |    51    |   relu6    |  (14, 14)  |  (14, 14)  |         384         |         384          |      -      |   -    |    -    |   1    |   1   |
| 171  |    52    |   conv2d   |  (14, 14)  |  (14, 14)  |         384         |         384          |    (3, 3)   | (1, 1) |  (1, 1) |  384   |   1   |
| 173  |    53    |   relu6    |  (14, 14)  |  (14, 14)  |         384         |         384          |      -      |   -    |    -    |   1    |   1   |
| 175  |    54    |   conv2d   |  (14, 14)  |  (14, 14)  |         384         |          96          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 182  |    55    |   conv2d   |  (14, 14)  |  (14, 14)  |          96         |         576          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 184  |    56    |   relu6    |  (14, 14)  |  (14, 14)  |         576         |         576          |      -      |   -    |    -    |   1    |   1   |
| 187  |    57    |   conv2d   |  (14, 14)  |  (14, 14)  |         576         |         576          |    (3, 3)   | (1, 1) |  (1, 1) |  576   |   1   |
| 189  |    58    |   relu6    |  (14, 14)  |  (14, 14)  |         576         |         576          |      -      |   -    |    -    |   1    |   1   |
| 191  |    59    |   conv2d   |  (14, 14)  |  (14, 14)  |         576         |          96          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 198  |    60    |   conv2d   |  (14, 14)  |  (14, 14)  |          96         |         576          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 200  |    61    |   relu6    |  (14, 14)  |  (14, 14)  |         576         |         576          |      -      |   -    |    -    |   1    |   1   |
| 203  |    62    |   conv2d   |  (14, 14)  |  (14, 14)  |         576         |         576          |    (3, 3)   | (1, 1) |  (1, 1) |  576   |   1   |
| 205  |    63    |   relu6    |  (14, 14)  |  (14, 14)  |         576         |         576          |      -      |   -    |    -    |   1    |   1   |
| 207  |    64    |   conv2d   |  (14, 14)  |  (14, 14)  |         576         |          96          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 214  |    65    |   conv2d   |  (14, 14)  |  (14, 14)  |          96         |         576          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 216  |    66    |   relu6    |  (14, 14)  |  (14, 14)  |         576         |         576          |      -      |   -    |    -    |   1    |   1   |
