+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |     layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 125  |    44    | adaptiveavgpool2d |   (1, 1)   |   (1, 1)   |         240         |         240          |      -      |   -    |    -    |   1    |   1   |
| 126  |    45    |       conv2d      |   (1, 1)   |   (1, 1)   |         240         |          10          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 127  |    46    |       conv2d      |   (1, 1)   |   (1, 1)   |          10         |         240          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 128  |    47    |        silu       |   (1, 1)   |   (1, 1)   |         240         |         240          |      -      |   -    |    -    |   1    |   1   |
| 129  |    48    |      sigmoid      |   (1, 1)   |   (1, 1)   |         240         |         240          |      -      |   -    |    -    |   1    |   1   |
| 132  |    49    |       conv2d      |  (28, 28)  |  (28, 28)  |         240         |          40          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 143  |    50    |       conv2d      |  (28, 28)  |  (28, 28)  |          40         |         240          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 145  |    51    |        silu       |  (28, 28)  |  (28, 28)  |         240         |         240          |      -      |   -    |    -    |   1    |   1   |
| 148  |    52    |       conv2d      |  (28, 28)  |  (14, 14)  |         240         |         240          |    (3, 3)   | (2, 2) |  (1, 1) |  240   |   1   |
| 150  |    53    |        silu       |  (14, 14)  |  (14, 14)  |         240         |         240          |      -      |   -    |    -    |   1    |   1   |
| 153  |    54    | adaptiveavgpool2d |   (1, 1)   |   (1, 1)   |         240         |         240          |      -      |   -    |    -    |   1    |   1   |
| 154  |    55    |       conv2d      |   (1, 1)   |   (1, 1)   |         240         |          10          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 155  |    56    |       conv2d      |   (1, 1)   |   (1, 1)   |          10         |         240          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 156  |    57    |        silu       |   (1, 1)   |   (1, 1)   |         240         |         240          |      -      |   -    |    -    |   1    |   1   |
| 157  |    58    |      sigmoid      |   (1, 1)   |   (1, 1)   |         240         |         240          |      -      |   -    |    -    |   1    |   1   |
| 160  |    59    |       conv2d      |  (14, 14)  |  (14, 14)  |         240         |          80          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 169  |    60    |       conv2d      |  (14, 14)  |  (14, 14)  |          80         |         480          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 171  |    61    |        silu       |  (14, 14)  |  (14, 14)  |         480         |         480          |      -      |   -    |    -    |   1    |   1   |
| 174  |    62    |       conv2d      |  (14, 14)  |  (14, 14)  |         480         |         480          |    (3, 3)   | (1, 1) |  (1, 1) |  480   |   1   |
| 176  |    63    |        silu       |  (14, 14)  |  (14, 14)  |         480         |         480          |      -      |   -    |    -    |   1    |   1   |
| 179  |    64    | adaptiveavgpool2d |   (1, 1)   |   (1, 1)   |         480         |         480          |      -      |   -    |    -    |   1    |   1   |
| 180  |    65    |       conv2d      |   (1, 1)   |   (1, 1)   |         480         |          20          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 181  |    66    |       conv2d      |   (1, 1)   |   (1, 1)   |          20         |         480          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 182  |    67    |        silu       |   (1, 1)   |   (1, 1)   |         480         |         480          |      -      |   -    |    -    |   1    |   1   |
| 183  |    68    |      sigmoid      |   (1, 1)   |   (1, 1)   |         480         |         480          |      -      |   -    |    -    |   1    |   1   |
| 186  |    69    |       conv2d      |  (14, 14)  |  (14, 14)  |         480         |          80          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 195  |    70    |       conv2d      |  (14, 14)  |  (14, 14)  |          80         |         480          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 197  |    71    |        silu       |  (14, 14)  |  (14, 14)  |         480         |         480          |      -      |   -    |    -    |   1    |   1   |
| 200  |    72    |       conv2d      |  (14, 14)  |  (14, 14)  |         480         |         480          |    (3, 3)   | (1, 1) |  (1, 1) |  480   |   1   |
| 202  |    73    |        silu       |  (14, 14)  |  (14, 14)  |         480         |         480          |      -      |   -    |    -    |   1    |   1   |
| 205  |    74    | adaptiveavgpool2d |   (1, 1)   |   (1, 1)   |         480         |         480          |      -      |   -    |    -    |   1    |   1   |
| 206  |    75    |       conv2d      |   (1, 1)   |   (1, 1)   |         480         |          20          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 207  |    76    |       conv2d      |   (1, 1)   |   (1, 1)   |          20         |         480          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 208  |    77    |        silu       |   (1, 1)   |   (1, 1)   |         480         |         480          |      -      |   -    |    -    |   1    |   1   |
| 209  |    78    |      sigmoid      |   (1, 1)   |   (1, 1)   |         480         |         480          |      -      |   -    |    -    |   1    |   1   |
| 212  |    79    |       conv2d      |  (14, 14)  |  (14, 14)  |         480         |          80          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 223  |    80    |       conv2d      |  (14, 14)  |  (14, 14)  |          80         |         480          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 225  |    81    |        silu       |  (14, 14)  |  (14, 14)  |         480         |         480          |      -      |   -    |    -    |   1    |   1   |
| 228  |    82    |       conv2d      |  (14, 14)  |  (14, 14)  |         480         |         480          |    (5, 5)   | (1, 1) |  (2, 2) |  480   |   1   |
| 230  |    83    |        silu       |  (14, 14)  |  (14, 14)  |         480         |         480          |      -      |   -    |    -    |   1    |   1   |
| 233  |    84    | adaptiveavgpool2d |   (1, 1)   |   (1, 1)   |         480         |         480          |      -      |   -    |    -    |   1    |   1   |
| 234  |    85    |       conv2d      |   (1, 1)   |   (1, 1)   |         480         |          20          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 235  |    86    |       conv2d      |   (1, 1)   |   (1, 1)   |          20         |         480          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 236  |    87    |        silu       |   (1, 1)   |   (1, 1)   |         480         |         480          |      -      |   -    |    -    |   1    |   1   |
| 237  |    88    |      sigmoid      |   (1, 1)   |   (1, 1)   |         480         |         480          |      -      |   -    |    -    |   1    |   1   |
| 240  |    89    |       conv2d      |  (14, 14)  |  (14, 14)  |         480         |         112          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 249  |    90    |       conv2d      |  (14, 14)  |  (14, 14)  |         112         |         672          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 251  |    91    |        silu       |  (14, 14)  |  (14, 14)  |         672         |         672          |      -      |   -    |    -    |   1    |   1   |
| 254  |    92    |       conv2d      |  (14, 14)  |  (14, 14)  |         672         |         672          |    (5, 5)   | (1, 1) |  (2, 2) |  672   |   1   |
| 256  |    93    |        silu       |  (14, 14)  |  (14, 14)  |         672         |         672          |      -      |   -    |    -    |   1    |   1   |
| 259  |    94    | adaptiveavgpool2d |   (1, 1)   |   (1, 1)   |         672         |         672          |      -      |   -    |    -    |   1    |   1   |
| 260  |    95    |       conv2d      |   (1, 1)   |   (1, 1)   |         672         |          28          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
