+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 108  |    45    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 109  |    46    |    relu    | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
| 110  |    47    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 115  |    48    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 116  |    49    |    relu    | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
| 117  |    50    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 120  |    51    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 123  |    52    | upsampler  | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
| 124  |    53    |   conv2d   | (224, 224) | (224, 224) |          64         |          3           |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
