+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 105  |    44    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 107  |    45    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 109  |    46    |    relu    |  (14, 14)  |  (14, 14)  |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
| 114  |    47    |   conv2d   |  (14, 14)  |  (14, 14)  |         512         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 116  |    48    |    relu    |  (14, 14)  |  (14, 14)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
| 117  |    49    |   conv2d   |  (14, 14)  |   (7, 7)   |         256         |         256          |    (3, 3)   | (2, 2) |  (1, 1) |   1    |   1   |
| 120  |    50    |    relu    |   (7, 7)   |   (7, 7)   |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
| 122  |    51    |   conv2d   |   (7, 7)   |   (7, 7)   |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 124  |    52    |    relu    |   (7, 7)   |   (7, 7)   |         1024        |         1024         |      -      |   -    |    -    |   1    |   1   |
| 126  |    53    |   conv2d   |   (7, 7)   |   (4, 4)   |         512         |         1024         |    (1, 1)   | (2, 2) |  (0, 0) |   1    |   1   |
| 131  |    54    |   conv2d   |   (4, 4)   |   (4, 4)   |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 133  |    55    |    relu    |   (4, 4)   |   (4, 4)   |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
| 134  |    56    |   conv2d   |   (4, 4)   |   (4, 4)   |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 137  |    57    |    relu    |   (4, 4)   |   (4, 4)   |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
| 139  |    58    |   conv2d   |   (4, 4)   |   (4, 4)   |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 141  |    59    |    relu    |   (4, 4)   |   (4, 4)   |         1024        |         1024         |      -      |   -    |    -    |   1    |   1   |
| 144  |    60    |   conv2d   |   (4, 4)   |   (4, 4)   |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 146  |    61    |    relu    |   (4, 4)   |   (4, 4)   |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
| 147  |    62    |   conv2d   |   (4, 4)   |   (4, 4)   |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 150  |    63    |    relu    |   (4, 4)   |   (4, 4)   |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
| 152  |    64    |   conv2d   |   (4, 4)   |   (4, 4)   |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 154  |    65    |    relu    |   (4, 4)   |   (4, 4)   |         1024        |         1024         |      -      |   -    |    -    |   1    |   1   |
| 157  |    66    |   conv2d   |   (4, 4)   |   (4, 4)   |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 159  |    67    |    relu    |   (4, 4)   |   (4, 4)   |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
| 160  |    68    |   conv2d   |   (4, 4)   |   (4, 4)   |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 163  |    69    |    relu    |   (4, 4)   |   (4, 4)   |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
| 165  |    70    |   conv2d   |   (4, 4)   |   (4, 4)   |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 167  |    71    |    relu    |   (4, 4)   |   (4, 4)   |         1024        |         1024         |      -      |   -    |    -    |   1    |   1   |
| 170  |    72    |   conv2d   |   (4, 4)   |   (4, 4)   |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 172  |    73    |    relu    |   (4, 4)   |   (4, 4)   |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
| 173  |    74    |   conv2d   |   (4, 4)   |   (4, 4)   |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 176  |    75    |    relu    |   (4, 4)   |   (4, 4)   |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
| 178  |    76    |   conv2d   |   (4, 4)   |   (4, 4)   |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 180  |    77    |    relu    |   (4, 4)   |   (4, 4)   |         1024        |         1024         |      -      |   -    |    -    |   1    |   1   |
| 183  |    78    |   conv2d   |   (4, 4)   |   (4, 4)   |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 185  |    79    |    relu    |   (4, 4)   |   (4, 4)   |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
| 186  |    80    |   conv2d   |   (4, 4)   |   (4, 4)   |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 189  |    81    |    relu    |   (4, 4)   |   (4, 4)   |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
