+------+----------+-----------------+-----------+----------+---------------------+----------------------+-------------+--------+----------+--------+-------+
| line | layer_no |    layer_type   |  in_size  | out_size | in_channel/features | out_channel/features | kernel_size | stride | padding  | groups | count |
|  93  |    44    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
|  94  |    45    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
|  96  |    46    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) | (128, 1) |  512   |   1   |
|  97  |    47    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 100  |    48    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 101  |    49    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 105  |    50    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 106  |    51    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 108  |    52    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) |  (1, 1)  |  512   |   1   |
| 109  |    53    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 112  |    54    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 113  |    55    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 117  |    56    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 118  |    57    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
