+------+----------+-------------------+------------+----------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |     layer_type    |  in_size   | out_size | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 169  |    50    |       linear      |  (14, 14)  | (14, 14) |         384         |         384          |      -      |   -    |    -    |   1    |   1   |
| 174  |    51    |       linear      |  (14, 14)  | (14, 14) |         384         |         1536         |      -      |   -    |    -    |   1    |   1   |
| 175  |    52    |        gelu       |  (14, 14)  | (14, 14) |         1536        |         1536         |      -      |   -    |    -    |   1    |   1   |
| 177  |    53    |       linear      |  (14, 14)  | (14, 14) |         1536        |         384          |      -      |   -    |    -    |   1    |   1   |
| 183  |    54    |       linear      |  (14, 14)  |  (7, 7)  |         1536        |         768          |      -      |   -    |    -    |   1    |   1   |
| 190  |    55    |       linear      |   (7, 7)   |  (7, 7)  |         768         |         2304         |      -      |   -    |    -    |   1    |   1   |
| 191  |    56    |       linear      |   (7, 7)   |  (7, 7)  |         768         |         768          |      -      |   -    |    -    |   1    |   1   |
| 196  |    57    |       linear      |   (7, 7)   |  (7, 7)  |         768         |         3072         |      -      |   -    |    -    |   1    |   1   |
| 197  |    58    |        gelu       |   (7, 7)   |  (7, 7)  |         3072        |         3072         |      -      |   -    |    -    |   1    |   1   |
| 199  |    59    |       linear      |   (7, 7)   |  (7, 7)  |         3072        |         768          |      -      |   -    |    -    |   1    |   1   |
| 206  |    60    |       linear      |   (7, 7)   |  (7, 7)  |         768         |         2304         |      -      |   -    |    -    |   1    |   1   |
| 207  |    61    |       linear      |   (7, 7)   |  (7, 7)  |         768         |         768          |      -      |   -    |    -    |   1    |   1   |
| 212  |    62    |       linear      |   (7, 7)   |  (7, 7)  |         768         |         3072         |      -      |   -    |    -    |   1    |   1   |
| 213  |    63    |        gelu       |   (7, 7)   |  (7, 7)  |         3072        |         3072         |      -      |   -    |    -    |   1    |   1   |
| 215  |    64    |       linear      |   (7, 7)   |  (7, 7)  |         3072        |         768          |      -      |   -    |    -    |   1    |   1   |
| 222  |    65    |      permute      |   (7, 7)   |  (7, 7)  |         768         |         768          |      -      |   -    |    -    |   1    |   1   |
| 223  |    66    | adaptiveavgpool2d |   (7, 7)   |  (7, 7)  |         768         |         768          |      -      |   -    |    -    |   1    |   1   |
| 224  |    67    |      flatten      |   (7, 7)   |  (7, 7)  |         768         |        37632         |      -      |   -    |    -    |   1    |   1   |
| 225  |    68    |       linear      |   (7, 7)   |  (7, 7)  |         768         |         1000         |      -      |   -    |    -    |   1    |   1   |
+------+----------+-------------------+------------+----------+---------------------+----------------------+-------------+--------+---------+--------+-------+
