+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |     layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 105  |    42    |       conv2d      |   (4, 4)   |   (4, 4)   |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 107  |    43    |       conv2d      |   (4, 4)   |   (4, 4)   |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 109  |    44    |       conv2d      |   (4, 4)   |   (4, 4)   |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 111  |    45    |        relu       |   (4, 4)   |   (4, 4)   |         1024        |         1024         |      -      |   -    |    -    |   1    |   1   |
| 114  |    46    |       conv2d      |   (4, 4)   |   (4, 4)   |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 116  |    47    |       conv2d      |   (4, 4)   |   (4, 4)   |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 118  |    48    |       conv2d      |   (4, 4)   |   (4, 4)   |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 120  |    49    |        relu       |   (4, 4)   |   (4, 4)   |         1024        |         1024         |      -      |   -    |    -    |   1    |   1   |
| 123  |    50    |       conv2d      |   (4, 4)   |   (4, 4)   |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 125  |    51    |       conv2d      |   (4, 4)   |   (4, 4)   |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 127  |    52    |       conv2d      |   (4, 4)   |   (4, 4)   |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 129  |    53    |        relu       |   (4, 4)   |   (4, 4)   |         1024        |         1024         |      -      |   -    |    -    |   1    |   1   |
| 132  |    54    |       conv2d      |   (4, 4)   |   (4, 4)   |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 134  |    55    |       conv2d      |   (4, 4)   |   (4, 4)   |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 136  |    56    |       conv2d      |   (4, 4)   |   (4, 4)   |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 138  |    57    |        relu       |   (4, 4)   |   (4, 4)   |         1024        |         1024         |      -      |   -    |    -    |   1    |   1   |
| 143  |    58    |       conv2d      |   (4, 4)   |   (4, 4)   |         1024        |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 145  |    59    |       conv2d      |   (4, 4)   |   (2, 2)   |         512         |         512          |    (3, 3)   | (2, 2) |  (1, 1) |   1    |   1   |
| 147  |    60    |       conv2d      |   (2, 2)   |   (2, 2)   |         512         |         2048         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 149  |    61    |        relu       |   (2, 2)   |   (2, 2)   |         2048        |         2048         |      -      |   -    |    -    |   1    |   1   |
| 151  |    62    |       conv2d      |   (2, 2)   |   (1, 1)   |         1024        |         2048         |    (1, 1)   | (2, 2) |  (0, 0) |   1    |   1   |
| 156  |    63    |       conv2d      |   (1, 1)   |   (1, 1)   |         2048        |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 158  |    64    |       conv2d      |   (1, 1)   |   (1, 1)   |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 160  |    65    |       conv2d      |   (1, 1)   |   (1, 1)   |         512         |         2048         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 162  |    66    |        relu       |   (1, 1)   |   (1, 1)   |         2048        |         2048         |      -      |   -    |    -    |   1    |   1   |
| 165  |    67    |       conv2d      |   (1, 1)   |   (1, 1)   |         2048        |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 167  |    68    |       conv2d      |   (1, 1)   |   (1, 1)   |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 169  |    69    |       conv2d      |   (1, 1)   |   (1, 1)   |         512         |         2048         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 171  |    70    |        relu       |   (1, 1)   |   (1, 1)   |         2048        |         2048         |      -      |   -    |    -    |   1    |   1   |
| 174  |    71    | adaptiveavgpool2d |   (1, 1)   |   (1, 1)   |         2048        |         2048         |      -      |   -    |    -    |   1    |   1   |
| 175  |    72    |       linear      |   (1, 1)   |   (1, 1)   |         2048        |         1000         |      -      |   -    |    -    |   1    |   1   |
+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
