+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |     layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
|  2   |    0     |       conv2d      | (224, 224) | (112, 112) |          3          |          64          |    (7, 7)   | (2, 2) |  (3, 3) |   1    |   1   |
|  4   |    1     |        relu       | (112, 112) | (112, 112) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  5   |    2     |     maxpool2d     | (112, 112) |  (56, 56)  |          64         |          64          |      3      |   2    |    1    |   1    |   1   |
|  8   |    3     |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  10  |    4     |        relu       |  (56, 56)  |  (56, 56)  |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  11  |    5     |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  15  |    6     |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  17  |    7     |        relu       |  (56, 56)  |  (56, 56)  |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  18  |    8     |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  24  |    9     |       conv2d      |  (56, 56)  |  (28, 28)  |          64         |         128          |    (3, 3)   | (2, 2) |  (1, 1) |   1    |   1   |
|  26  |    10    |        relu       |  (28, 28)  |  (28, 28)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
|  27  |    11    |       conv2d      |  (28, 28)  |  (28, 28)  |         128         |         128          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  30  |    12    |       conv2d      |  (28, 28)  |  (14, 14)  |          64         |         128          |    (1, 1)   | (2, 2) |  (0, 0) |   1    |   1   |
|  35  |    13    |       conv2d      |  (14, 14)  |  (14, 14)  |         128         |         128          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  37  |    14    |        relu       |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
|  38  |    15    |       conv2d      |  (14, 14)  |  (14, 14)  |         128         |         128          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  44  |    16    |       conv2d      |  (14, 14)  |   (7, 7)   |         128         |         256          |    (3, 3)   | (2, 2) |  (1, 1) |   1    |   1   |
|  46  |    17    |        relu       |   (7, 7)   |   (7, 7)   |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  47  |    18    |       conv2d      |   (7, 7)   |   (7, 7)   |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  50  |    19    |       conv2d      |   (7, 7)   |   (4, 4)   |         128         |         256          |    (1, 1)   | (2, 2) |  (0, 0) |   1    |   1   |
|  55  |    20    |       conv2d      |   (4, 4)   |   (4, 4)   |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  57  |    21    |        relu       |   (4, 4)   |   (4, 4)   |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  58  |    22    |       conv2d      |   (4, 4)   |   (4, 4)   |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  64  |    23    |       conv2d      |   (4, 4)   |   (2, 2)   |         256         |         512          |    (3, 3)   | (2, 2) |  (1, 1) |   1    |   1   |
|  66  |    24    |        relu       |   (2, 2)   |   (2, 2)   |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  67  |    25    |       conv2d      |   (2, 2)   |   (2, 2)   |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  70  |    26    |       conv2d      |   (2, 2)   |   (1, 1)   |         256         |         512          |    (1, 1)   | (2, 2) |  (0, 0) |   1    |   1   |
|  75  |    27    |       conv2d      |   (1, 1)   |   (1, 1)   |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  77  |    28    |        relu       |   (1, 1)   |   (1, 1)   |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  78  |    29    |       conv2d      |   (1, 1)   |   (1, 1)   |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  82  |    30    | adaptiveavgpool2d |   (1, 1)   |   (1, 1)   |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  83  |    31    |       linear      |   (1, 1)   |   (1, 1)   |         512         |         1000         |      -      |   -    |    -    |   1    |   1   |
+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
