+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+-------+
| line | layer_no |     layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | count |
| 111  |    45    |        relu       |  (16, 16)  |  (16, 16)  |         1024        |         1024         |      -      |   -    |    -    |   1   |
| 114  |    46    |       conv2d      |  (16, 16)  |  (16, 16)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 116  |    47    |       conv2d      |  (16, 16)  |  (18, 18)  |         256         |         256          |    (3, 3)   | (1, 1) |  (2, 2) |   1   |
| 118  |    48    |       conv2d      |  (18, 18)  |  (18, 18)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 120  |    49    |        relu       |  (18, 18)  |  (18, 18)  |         1024        |         1024         |      -      |   -    |    -    |   1   |
| 123  |    50    |       conv2d      |  (18, 18)  |  (18, 18)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 125  |    51    |       conv2d      |  (18, 18)  |  (20, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (2, 2) |   1   |
| 127  |    52    |       conv2d      |  (20, 20)  |  (20, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 129  |    53    |        relu       |  (20, 20)  |  (20, 20)  |         1024        |         1024         |      -      |   -    |    -    |   1   |
| 132  |    54    |       conv2d      |  (20, 20)  |  (20, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 134  |    55    |       conv2d      |  (20, 20)  |  (22, 22)  |         256         |         256          |    (3, 3)   | (1, 1) |  (2, 2) |   1   |
| 136  |    56    |       conv2d      |  (22, 22)  |  (22, 22)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 138  |    57    |        relu       |  (22, 22)  |  (22, 22)  |         1024        |         1024         |      -      |   -    |    -    |   1   |
| 141  |    58    |       conv2d      |  (22, 22)  |  (22, 22)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 143  |    59    |       conv2d      |  (22, 22)  |  (24, 24)  |         256         |         256          |    (3, 3)   | (1, 1) |  (2, 2) |   1   |
| 145  |    60    |       conv2d      |  (24, 24)  |  (24, 24)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 147  |    61    |        relu       |  (24, 24)  |  (24, 24)  |         1024        |         1024         |      -      |   -    |    -    |   1   |
| 152  |    62    |       conv2d      |  (24, 24)  |  (24, 24)  |         1024        |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 154  |    63    |       conv2d      |  (24, 24)  |  (26, 26)  |         512         |         512          |    (3, 3)   | (1, 1) |  (2, 2) |   1   |
| 156  |    64    |       conv2d      |  (26, 26)  |  (26, 26)  |         512         |         2048         |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 158  |    65    |        relu       |  (26, 26)  |  (26, 26)  |         2048        |         2048         |      -      |   -    |    -    |   1   |
| 160  |    66    |       conv2d      |  (26, 26)  |  (26, 26)  |         1024        |         2048         |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 165  |    67    |       conv2d      |  (26, 26)  |  (26, 26)  |         2048        |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 167  |    68    |       conv2d      |  (26, 26)  |  (32, 32)  |         512         |         512          |    (3, 3)   | (1, 1) |  (4, 4) |   1   |
| 169  |    69    |       conv2d      |  (32, 32)  |  (32, 32)  |         512         |         2048         |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 171  |    70    |        relu       |  (32, 32)  |  (32, 32)  |         2048        |         2048         |      -      |   -    |    -    |   1   |
| 174  |    71    |       conv2d      |  (32, 32)  |  (32, 32)  |         2048        |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 176  |    72    |       conv2d      |  (32, 32)  |  (38, 38)  |         512         |         512          |    (3, 3)   | (1, 1) |  (4, 4) |   1   |
| 178  |    73    |       conv2d      |  (38, 38)  |  (38, 38)  |         512         |         2048         |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 180  |    74    |        relu       |  (38, 38)  |  (38, 38)  |         2048        |         2048         |      -      |   -    |    -    |   1   |
| 188  |    75    |       conv2d      |  (38, 38)  |  (38, 38)  |         512         |          6           |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
