+------+----------+------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |    layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 135  |    41    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 138  |    42    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 143  |    43    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 146  |    44    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 149  |    45    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 154  |    46    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 157  |    47    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 160  |    48    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 165  |    49    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 168  |    50    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 171  |    51    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 176  |    52    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 179  |    53    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 182  |    54    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 187  |    55    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 190  |    56    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 193  |    57    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 198  |    58    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 201  |    59    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 204  |    60    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 209  |    61    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 212  |    62    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 215  |    63    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 220  |    64    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 223  |    65    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 226  |    66    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 231  |    67    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 234  |    68    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 237  |    69    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 242  |    70    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 245  |    71    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
