+------+----------+------------+-----------+-----------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size  |  out_size | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
+------+----------+------------+-----------+-----------+---------------------+----------------------+-------------+--------+---------+--------+-------+
|  5   |    0     |   conv1d   | (3000, 1) | (3000, 1) |          80         |         1280         |    (3, 1)   | (1, 1) |  (1, 1) |   1    |   1   |
|  6   |    1     |   conv1d   | (3000, 1) | (1500, 1) |         1280        |         1280         |    (3, 1)   | (2, 1) |  (1, 1) |   1    |   1   |
|  11  |    2     |   linear   | (1500, 1) | (1500, 1) |         1280        |         1280         |      -      |   -    |    -    |   1    |   32  |
|  12  |    3     |   linear   | (1500, 1) | (1500, 1) |         1280        |         1280         |      -      |   -    |    -    |   1    |   32  |
|  13  |    4     |   linear   | (1500, 1) | (1500, 1) |         1280        |         1280         |      -      |   -    |    -    |   1    |   32  |
|  14  |    5     |   linear   | (1500, 1) | (1500, 1) |         1280        |         1280         |      -      |   -    |    -    |   1    |   32  |
|  17  |    6     |    gelu    | (1500, 1) | (1500, 1) |         1280        |         1280         |      -      |   -    |    -    |   1    |   32  |
|  18  |    7     |   linear   | (1500, 1) | (1500, 1) |         1280        |         5120         |      -      |   -    |    -    |   1    |   32  |
|  19  |    8     |   linear   | (1500, 1) | (1500, 1) |         5120        |         1280         |      -      |   -    |    -    |   1    |   32  |
|  31  |    9     |   linear   | (1500, 1) | (1500, 1) |         1280        |         1280         |      -      |   -    |    -    |   1    |   32  |
|  32  |    10    |   linear   | (1500, 1) | (1500, 1) |         1280        |         1280         |      -      |   -    |    -    |   1    |   32  |
|  33  |    11    |   linear   | (1500, 1) | (1500, 1) |         1280        |         1280         |      -      |   -    |    -    |   1    |   32  |
|  34  |    12    |   linear   | (1500, 1) | (1500, 1) |         1280        |         1280         |      -      |   -    |    -    |   1    |   32  |
|  36  |    13    |    gelu    | (1500, 1) | (1500, 1) |         1280        |         1280         |      -      |   -    |    -    |   1    |   32  |
|  39  |    14    |   linear   | (1500, 1) | (1500, 1) |         1280        |         1280         |      -      |   -    |    -    |   1    |   32  |
|  40  |    15    |   linear   | (1500, 1) | (1500, 1) |         1280        |         1280         |      -      |   -    |    -    |   1    |   32  |
|  41  |    16    |   linear   | (1500, 1) | (1500, 1) |         1280        |         1280         |      -      |   -    |    -    |   1    |   32  |
|  42  |    17    |   linear   | (1500, 1) | (1500, 1) |         1280        |         1280         |      -      |   -    |    -    |   1    |   32  |
|  45  |    18    |   linear   | (1500, 1) | (1500, 1) |         1280        |         5120         |      -      |   -    |    -    |   1    |   32  |
|  46  |    19    |   linear   | (1500, 1) | (1500, 1) |         5120        |         1280         |      -      |   -    |    -    |   1    |   32  |
|  53  |    20    |   linear   | (1500, 1) | (1500, 1) |         1280        |        51865         |      -      |   -    |    -    |   1    |   1   |
+------+----------+------------+-----------+-----------+---------------------+----------------------+-------------+--------+---------+--------+-------+
