+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
|  94  |    45    |   conv2d   |  (28, 28)  |  (28, 28)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  98  |    46    |    relu    |  (28, 28)  |  (28, 28)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
|  99  |    47    |   conv2d   |  (28, 28)  |  (28, 28)  |         256         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 101  |    48    |    relu    |  (28, 28)  |  (28, 28)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 102  |    49    |   conv2d   |  (28, 28)  |  (28, 28)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 106  |    50    |    relu    |  (28, 28)  |  (28, 28)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 107  |    51    |   conv2d   |  (28, 28)  |  (28, 28)  |         288         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 109  |    52    |    relu    |  (28, 28)  |  (28, 28)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 110  |    53    |   conv2d   |  (28, 28)  |  (28, 28)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 114  |    54    |    relu    |  (28, 28)  |  (28, 28)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 115  |    55    |   conv2d   |  (28, 28)  |  (28, 28)  |         320         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 117  |    56    |    relu    |  (28, 28)  |  (28, 28)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 118  |    57    |   conv2d   |  (28, 28)  |  (28, 28)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 122  |    58    |    relu    |  (28, 28)  |  (28, 28)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 123  |    59    |   conv2d   |  (28, 28)  |  (28, 28)  |         352         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 125  |    60    |    relu    |  (28, 28)  |  (28, 28)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 126  |    61    |   conv2d   |  (28, 28)  |  (28, 28)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 130  |    62    |    relu    |  (28, 28)  |  (28, 28)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 131  |    63    |   conv2d   |  (28, 28)  |  (28, 28)  |         384         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 133  |    64    |    relu    |  (28, 28)  |  (28, 28)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 134  |    65    |   conv2d   |  (28, 28)  |  (28, 28)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 138  |    66    |    relu    |  (28, 28)  |  (28, 28)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 139  |    67    |   conv2d   |  (28, 28)  |  (28, 28)  |         416         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 141  |    68    |    relu    |  (28, 28)  |  (28, 28)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 142  |    69    |   conv2d   |  (28, 28)  |  (28, 28)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
