+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 117  |    44    |   conv2d   |   (4, 4)   |   (4, 4)   |          48         |          48          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 119  |    45    |    relu    |   (4, 4)   |   (4, 4)   |          48         |          48          |      -      |   -    |    -    |   1    |   1   |
| 120  |    46    |   conv2d   |   (4, 4)   |   (4, 4)   |          48         |          48          |    (3, 3)   | (1, 1) |  (1, 1) |   48   |   1   |
| 122  |    47    |   conv2d   |   (4, 4)   |   (4, 4)   |          48         |          48          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 124  |    48    |    relu    |   (4, 4)   |   (4, 4)   |          48         |          48          |      -      |   -    |    -    |   1    |   1   |
| 130  |    49    |   conv2d   |   (4, 4)   |   (4, 4)   |          48         |          48          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 132  |    50    |    relu    |   (4, 4)   |   (4, 4)   |          48         |          48          |      -      |   -    |    -    |   1    |   1   |
| 133  |    51    |   conv2d   |   (4, 4)   |   (4, 4)   |          48         |          48          |    (3, 3)   | (1, 1) |  (1, 1) |   48   |   1   |
| 135  |    52    |   conv2d   |   (4, 4)   |   (4, 4)   |          48         |          48          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 137  |    53    |    relu    |   (4, 4)   |   (4, 4)   |          48         |          48          |      -      |   -    |    -    |   1    |   1   |
| 143  |    54    |   conv2d   |   (4, 4)   |   (4, 4)   |          48         |          48          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 145  |    55    |    relu    |   (4, 4)   |   (4, 4)   |          48         |          48          |      -      |   -    |    -    |   1    |   1   |
| 146  |    56    |   conv2d   |   (4, 4)   |   (4, 4)   |          48         |          48          |    (3, 3)   | (1, 1) |  (1, 1) |   48   |   1   |
| 148  |    57    |   conv2d   |   (4, 4)   |   (4, 4)   |          48         |          48          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 150  |    58    |    relu    |   (4, 4)   |   (4, 4)   |          48         |          48          |      -      |   -    |    -    |   1    |   1   |
| 156  |    59    |   conv2d   |   (4, 4)   |   (4, 4)   |          48         |          48          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 158  |    60    |    relu    |   (4, 4)   |   (4, 4)   |          48         |          48          |      -      |   -    |    -    |   1    |   1   |
| 159  |    61    |   conv2d   |   (4, 4)   |   (4, 4)   |          48         |          48          |    (3, 3)   | (1, 1) |  (1, 1) |   48   |   1   |
| 161  |    62    |   conv2d   |   (4, 4)   |   (4, 4)   |          48         |          48          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 163  |    63    |    relu    |   (4, 4)   |   (4, 4)   |          48         |          48          |      -      |   -    |    -    |   1    |   1   |
| 169  |    64    |   conv2d   |   (4, 4)   |   (4, 4)   |          48         |          48          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 171  |    65    |    relu    |   (4, 4)   |   (4, 4)   |          48         |          48          |      -      |   -    |    -    |   1    |   1   |
| 172  |    66    |   conv2d   |   (4, 4)   |   (4, 4)   |          48         |          48          |    (3, 3)   | (1, 1) |  (1, 1) |   48   |   1   |
| 174  |    67    |   conv2d   |   (4, 4)   |   (4, 4)   |          48         |          48          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 176  |    68    |    relu    |   (4, 4)   |   (4, 4)   |          48         |          48          |      -      |   -    |    -    |   1    |   1   |
