+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 161  |    45    |   linear   |   (1, 1)   |   (1, 1)   |         192         |         192          |      -      |   -    |    -    |   1    |   4   |
| 162  |    46    |   linear   |   (1, 1)   |   (1, 1)   |         192         |         192          |      -      |   -    |    -    |   1    |   4   |
| 166  |    47    |   linear   |   (1, 1)   |   (1, 1)   |         192         |         192          |      -      |   -    |    -    |   1    |   4   |
| 171  |    48    |   linear   |   (1, 1)   |   (1, 1)   |         192         |         384          |      -      |   -    |    -    |   1    |   4   |
| 172  |    49    |    silu    |   (1, 1)   |   (1, 1)   |         384         |         384          |      -      |   -    |    -    |   1    |   4   |
| 175  |    50    |   linear   |   (1, 1)   |   (1, 1)   |         384         |         192          |      -      |   -    |    -    |   1    |   4   |
| 185  |    51    |   conv2d   |  (14, 14)  |  (14, 14)  |         192         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 187  |    52    |    silu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 190  |    53    |   conv2d   |  (14, 14)  |  (14, 14)  |         256         |         128          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 192  |    54    |    silu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 198  |    55    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 200  |    56    |    silu    |  (14, 14)  |  (14, 14)  |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
| 203  |    57    |   conv2d   |  (14, 14)  |   (7, 7)   |         512         |         512          |    (3, 3)   | (2, 2) |  (1, 1) |  512   |   1   |
| 205  |    58    |    silu    |   (7, 7)   |   (7, 7)   |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
| 208  |    59    |   conv2d   |   (7, 7)   |   (7, 7)   |         512         |         160          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 213  |    60    |   conv2d   |   (7, 7)   |   (7, 7)   |         160         |         160          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 215  |    61    |    silu    |   (7, 7)   |   (7, 7)   |         160         |         160          |      -      |   -    |    -    |   1    |   1   |
| 218  |    62    |   conv2d   |   (7, 7)   |   (7, 7)   |         160         |         240          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 225  |    63    |   linear   |   (1, 1)   |   (1, 1)   |         240         |         240          |      -      |   -    |    -    |   1    |   3   |
| 226  |    64    |   linear   |   (1, 1)   |   (1, 1)   |         240         |         240          |      -      |   -    |    -    |   1    |   3   |
| 227  |    65    |   linear   |   (1, 1)   |   (1, 1)   |         240         |         240          |      -      |   -    |    -    |   1    |   3   |
| 231  |    66    |   linear   |   (1, 1)   |   (1, 1)   |         240         |         240          |      -      |   -    |    -    |   1    |   3   |
| 236  |    67    |   linear   |   (1, 1)   |   (1, 1)   |         240         |         480          |      -      |   -    |    -    |   1    |   3   |
| 237  |    68    |    silu    |   (1, 1)   |   (1, 1)   |         480         |         480          |      -      |   -    |    -    |   1    |   3   |
| 240  |    69    |   linear   |   (1, 1)   |   (1, 1)   |         480         |         240          |      -      |   -    |    -    |   1    |   3   |
| 250  |    70    |   conv2d   |   (1, 1)   |   (1, 1)   |         240         |         160          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 252  |    71    |    silu    |   (1, 1)   |   (1, 1)   |         160         |         160          |      -      |   -    |    -    |   1    |   1   |
| 255  |    72    |   conv2d   |   (1, 1)   |   (1, 1)   |         320         |         160          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 257  |    73    |    silu    |   (1, 1)   |   (1, 1)   |         160         |         160          |      -      |   -    |    -    |   1    |   1   |
| 263  |    74    |   conv2d   |   (1, 1)   |   (1, 1)   |         160         |         640          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 265  |    75    |    silu    |   (1, 1)   |   (1, 1)   |         640         |         640          |      -      |   -    |    -    |   1    |   1   |
+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
