+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |     layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
|  3   |    0     |       conv2d      | (224, 224) | (224, 224) |          3          |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  4   |    1     |        relu       | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  5   |    2     |     maxpool2d     | (224, 224) | (112, 112) |          64         |          64          |      2      |   2    |    0    |   1    |   1   |
|  6   |    3     |       conv2d      | (112, 112) | (112, 112) |          64         |         128          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  7   |    4     |        relu       | (112, 112) | (112, 112) |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
|  8   |    5     |     maxpool2d     | (112, 112) |  (56, 56)  |         128         |         128          |      2      |   2    |    0    |   1    |   1   |
|  9   |    6     |       conv2d      |  (56, 56)  |  (56, 56)  |         128         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  10  |    7     |        relu       |  (56, 56)  |  (56, 56)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  11  |    8     |       conv2d      |  (56, 56)  |  (56, 56)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  12  |    9     |        relu       |  (56, 56)  |  (56, 56)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  13  |    10    |     maxpool2d     |  (56, 56)  |  (28, 28)  |         256         |         256          |      2      |   2    |    0    |   1    |   1   |
|  14  |    11    |       conv2d      |  (28, 28)  |  (28, 28)  |         256         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  15  |    12    |        relu       |  (28, 28)  |  (28, 28)  |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  16  |    13    |       conv2d      |  (28, 28)  |  (28, 28)  |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  17  |    14    |        relu       |  (28, 28)  |  (28, 28)  |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  18  |    15    |     maxpool2d     |  (28, 28)  |  (14, 14)  |         512         |         512          |      2      |   2    |    0    |   1    |   1   |
|  19  |    16    |       conv2d      |  (14, 14)  |  (14, 14)  |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  20  |    17    |        relu       |  (14, 14)  |  (14, 14)  |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  21  |    18    |       conv2d      |  (14, 14)  |  (14, 14)  |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  22  |    19    |        relu       |  (14, 14)  |  (14, 14)  |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  23  |    20    |     maxpool2d     |  (14, 14)  |   (7, 7)   |         512         |         512          |      2      |   2    |    0    |   1    |   1   |
|  25  |    21    | adaptiveavgpool2d |   (7, 7)   |   (7, 7)   |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  27  |    22    |       linear      |   (1, 1)   |   (1, 1)   |        25088        |         4096         |      -      |   -    |    -    |   1    |   1   |
|  28  |    23    |        relu       |   (1, 1)   |   (1, 1)   |         4096        |         4096         |      -      |   -    |    -    |   1    |   1   |
|  30  |    24    |       linear      |   (1, 1)   |   (1, 1)   |         4096        |         4096         |      -      |   -    |    -    |   1    |   1   |
|  31  |    25    |        relu       |   (1, 1)   |   (1, 1)   |         4096        |         4096         |      -      |   -    |    -    |   1    |   1   |
|  33  |    26    |       linear      |   (1, 1)   |   (1, 1)   |         4096        |         1000         |      -      |   -    |    -    |   1    |   1   |
+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
