+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   | ANC-Gen | ANC-Cstm | ANC-Opt | AEC-Gen | AEC-Cstm | AEC-Opt | CNU-Gen | CNU-Cstm | CNU-Opt | CEU-Gen | CEU-Cstm | CEU-Opt |                                              Config-Gen |                                             Config-Cstm |                                              Config-Opt |
+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
| Training set |         |          |         |         |          |         |         |          |         |         |          |         |                                                         |                                                         |                                                         |
|     moe      | 100.000 |  100.000 | 100.000 | 100.000 |  100.000 | 100.000 |   0.125 |    1.000 |   0.500 |   0.100 |    1.000 |   0.500 |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 64, 'no_modules': | {'row_PE': 64, 'col_PE': 32, 'n_SA': 128, 'no_modules': | {'row_PE': 64, 'col_PE': 32, 'n_SA': 128, 'no_modules': |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                                     64} |                                                     64} |                                                     64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |          ['PERMUTE', 'RELU', 'CONV1D', 'TANH', 'RELU6', |                                      ['SILU', 'LINEAR'] |                      ['SILU', 'LINEAR', 'GELU', 'TANH'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |              'CONVTRANSPOSE2D', 'FLATTEN', 'AVGPOOL2D', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |  'LASTLEVELMAXPOOL', 'MAXPOOL2D', 'ROIALIGN', 'CONV2D', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |          'SILU', 'ADAPTIVEAVGPOOL2D', 'LINEAR', 'GELU'] |                                                         |                                                         |
|   whisper    | 100.000 |  100.000 | 100.000 | 100.000 |   94.464 |  94.464 |   0.188 |    1.000 |   1.000 |   0.200 |    1.000 |   1.000 |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 64, 'no_modules': | {'row_PE': 32, 'col_PE': 32, 'n_SA': 128, 'no_modules': | {'row_PE': 32, 'col_PE': 32, 'n_SA': 128, 'no_modules': |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                                     64} |                                                     64} |                                                     64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |          ['PERMUTE', 'RELU', 'CONV1D', 'TANH', 'RELU6', |                            ['CONV1D', 'LINEAR', 'GELU'] |                            ['CONV1D', 'LINEAR', 'GELU'] |
