+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   | ANC-Gen | ANC-Cstm | ANC-Opt | AEC-Gen | AEC-Cstm | AEC-Opt | CNU-Gen | CNU-Cstm | CNU-Opt | CEU-Gen | CEU-Cstm | CEU-Opt |                                              Config-Gen |                                             Config-Cstm |                                              Config-Opt |
+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
| Training set |         |          |         |         |          |         |         |          |         |         |          |         |                                                         |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'SILU', 'ADAPTIVEAVGPOOL2D', 'RELU6', 'MAXPOOL2D', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |       'CONV1D', 'LASTLEVELMAXPOOL', 'RELU', 'ROIALIGN'] |                                                         |                                                         |
|     dino     | 100.000 |  100.000 | 100.000 | 100.000 |  100.000 | 100.000 |   0.125 |    1.000 |   0.500 |   0.080 |    1.000 |   0.500 |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                       'no_modules': 64} |                                       'no_modules': 64} |                                       'no_modules': 64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                 ['CONV2D', 'TANH', 'FLATTEN', 'LINEAR', |                                      ['LINEAR', 'GELU'] |                      ['SILU', 'LINEAR', 'TANH', 'GELU'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'CONVTRANSPOSE2D', 'PERMUTE', 'GELU', 'AVGPOOL2D', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'SILU', 'ADAPTIVEAVGPOOL2D', 'RELU6', 'MAXPOOL2D', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |       'CONV1D', 'LASTLEVELMAXPOOL', 'RELU', 'ROIALIGN'] |                                                         |                                                         |
|    vgg16     | 100.000 |  100.000 | 100.000 |  99.952 |   99.952 |  99.952 |   0.312 |    1.000 |   0.500 |   0.160 |    1.000 |   0.286 |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                       'no_modules': 64} |                                       'no_modules': 64} |                                       'no_modules': 64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                 ['CONV2D', 'TANH', 'FLATTEN', 'LINEAR', |               ['CONV2D', 'MAXPOOL2D', 'RELU', 'LINEAR', |   ['CONV2D', 'AVGPOOL2D', 'RELU6', 'MAXPOOL2D', 'RELU', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'CONVTRANSPOSE2D', 'PERMUTE', 'GELU', 'AVGPOOL2D', |                                    'ADAPTIVEAVGPOOL2D'] |    'FLATTEN', 'LINEAR', 'PERMUTE', 'ADAPTIVEAVGPOOL2D', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'SILU', 'ADAPTIVEAVGPOOL2D', 'RELU6', 'MAXPOOL2D', |                                                         |                                                 'GELU'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |       'CONV1D', 'LASTLEVELMAXPOOL', 'RELU', 'ROIALIGN'] |                                                         |                                                         |
|   resnet18   | 100.000 |  100.000 | 100.000 |  99.996 |   99.996 |  99.996 |   0.312 |    1.000 |   0.500 |   0.200 |    1.000 |   0.357 |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |              {'row_PE': 128, 'col_PE': 64, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                       'no_modules': 64} |                                       'no_modules': 64} |                                       'no_modules': 64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                 ['CONV2D', 'TANH', 'FLATTEN', 'LINEAR', |               ['CONV2D', 'MAXPOOL2D', 'RELU', 'LINEAR', |   ['CONV2D', 'AVGPOOL2D', 'RELU6', 'MAXPOOL2D', 'RELU', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'CONVTRANSPOSE2D', 'PERMUTE', 'GELU', 'AVGPOOL2D', |                                    'ADAPTIVEAVGPOOL2D'] |    'FLATTEN', 'LINEAR', 'PERMUTE', 'ADAPTIVEAVGPOOL2D', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'SILU', 'ADAPTIVEAVGPOOL2D', 'RELU6', 'MAXPOOL2D', |                                                         |                                                 'GELU'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |       'CONV1D', 'LASTLEVELMAXPOOL', 'RELU', 'ROIALIGN'] |                                                         |                                                         |
| densenet121  | 100.000 |  100.000 | 100.000 |  99.999 |  100.000 |  99.999 |   0.312 |    1.000 |   0.500 |   0.160 |    1.000 |   0.286 |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |              {'row_PE': 128, 'col_PE': 64, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                       'no_modules': 64} |                                       'no_modules': 64} |                                       'no_modules': 64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                 ['CONV2D', 'TANH', 'FLATTEN', 'LINEAR', |  ['CONV2D', 'LINEAR', 'AVGPOOL2D', 'MAXPOOL2D', 'RELU'] |   ['CONV2D', 'AVGPOOL2D', 'RELU6', 'MAXPOOL2D', 'RELU', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'CONVTRANSPOSE2D', 'PERMUTE', 'GELU', 'AVGPOOL2D', |                                                         |    'FLATTEN', 'LINEAR', 'PERMUTE', 'ADAPTIVEAVGPOOL2D', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'SILU', 'ADAPTIVEAVGPOOL2D', 'RELU6', 'MAXPOOL2D', |                                                         |                                                 'GELU'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |       'CONV1D', 'LASTLEVELMAXPOOL', 'RELU', 'ROIALIGN'] |                                                         |                                                         |
|  peanutRCNN  | 100.000 |  100.000 | 100.000 | 100.000 |  100.000 | 100.000 |   0.438 |    1.000 |   1.000 |   0.400 |    1.000 |   1.000 |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                       'no_modules': 64} |                                       'no_modules': 64} |                                       'no_modules': 64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                 ['CONV2D', 'TANH', 'FLATTEN', 'LINEAR', |        ['LASTLEVELMAXPOOL', 'CONV2D', 'RELU', 'LINEAR', |        ['LASTLEVELMAXPOOL', 'CONV2D', 'RELU', 'LINEAR', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'CONVTRANSPOSE2D', 'PERMUTE', 'GELU', 'AVGPOOL2D', |               'FLATTEN', 'CONVTRANSPOSE2D', 'ROIALIGN'] |               'FLATTEN', 'CONVTRANSPOSE2D', 'ROIALIGN'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'SILU', 'ADAPTIVEAVGPOOL2D', 'RELU6', 'MAXPOOL2D', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |       'CONV1D', 'LASTLEVELMAXPOOL', 'RELU', 'ROIALIGN'] |                                                         |                                                         |
|   resnet50   | 100.000 |  100.000 | 100.000 |  99.994 |   99.994 |  99.994 |   0.312 |    1.000 |   0.500 |   0.200 |    1.000 |   0.357 |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                       'no_modules': 64} |                                       'no_modules': 64} |                                       'no_modules': 64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                 ['CONV2D', 'TANH', 'FLATTEN', 'LINEAR', |               ['CONV2D', 'MAXPOOL2D', 'RELU', 'LINEAR', |   ['CONV2D', 'AVGPOOL2D', 'RELU6', 'MAXPOOL2D', 'RELU', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'CONVTRANSPOSE2D', 'PERMUTE', 'GELU', 'AVGPOOL2D', |                                    'ADAPTIVEAVGPOOL2D'] |    'FLATTEN', 'LINEAR', 'PERMUTE', 'ADAPTIVEAVGPOOL2D', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'SILU', 'ADAPTIVEAVGPOOL2D', 'RELU6', 'MAXPOOL2D', |                                                         |                                                 'GELU'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |       'CONV1D', 'LASTLEVELMAXPOOL', 'RELU', 'ROIALIGN'] |                                                         |                                                         |
| mobilenetv2  | 100.000 |  100.000 | 100.000 |  99.799 |  100.000 |  99.799 |   0.188 |    1.000 |   0.300 |   0.080 |    1.000 |   0.143 |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                       'no_modules': 64} |                                       'no_modules': 64} |                                       'no_modules': 64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                 ['CONV2D', 'TANH', 'FLATTEN', 'LINEAR', |                           ['LINEAR', 'CONV2D', 'RELU6'] |   ['CONV2D', 'AVGPOOL2D', 'RELU6', 'MAXPOOL2D', 'RELU', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'CONVTRANSPOSE2D', 'PERMUTE', 'GELU', 'AVGPOOL2D', |                                                         |    'FLATTEN', 'LINEAR', 'PERMUTE', 'ADAPTIVEAVGPOOL2D', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'SILU', 'ADAPTIVEAVGPOOL2D', 'RELU6', 'MAXPOOL2D', |                                                         |                                                 'GELU'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |       'CONV1D', 'LASTLEVELMAXPOOL', 'RELU', 'ROIALIGN'] |                                                         |                                                         |
|    swint     | 100.000 |  100.000 | 100.000 |  99.542 |   96.625 |  99.542 |   0.375 |    1.000 |   0.600 |   0.240 |    1.000 |   0.429 |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                       'no_modules': 64} |                                       'no_modules': 64} |                                       'no_modules': 64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                 ['CONV2D', 'TANH', 'FLATTEN', 'LINEAR', |   ['CONV2D', 'PERMUTE', 'ADAPTIVEAVGPOOL2D', 'FLATTEN', |   ['CONV2D', 'AVGPOOL2D', 'RELU6', 'MAXPOOL2D', 'RELU', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'CONVTRANSPOSE2D', 'PERMUTE', 'GELU', 'AVGPOOL2D', |                                       'LINEAR', 'GELU'] |    'FLATTEN', 'LINEAR', 'PERMUTE', 'ADAPTIVEAVGPOOL2D', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'SILU', 'ADAPTIVEAVGPOOL2D', 'RELU6', 'MAXPOOL2D', |                                                         |                                                 'GELU'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |       'CONV1D', 'LASTLEVELMAXPOOL', 'RELU', 'ROIALIGN'] |                                                         |                                                         |
+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
