+------------+-------------+--------------+--------+--------+---------+----------+----------------------+-------------+-------------------------+
| Node Name  | In_Channels | Out_Channels | Kernel | Stride | In Size | Out Size | Inter Node Frequency | Total Nodes | Degree of Connectivity  |
|   CONV2D   |     576     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     576     |     128      |   1    |   1    |    7    |    7     |          1           |      1      |           [2]           |
|   CONV2D   |     608     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     608     |     128      |   1    |   1    |    7    |    7     |          1           |      1      |           [2]           |
|   CONV2D   |     640     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     640     |     128      |   1    |   1    |    7    |    7     |          1           |      1      |           [2]           |
|   CONV2D   |      64     |     128      |   1    |   1    |    56   |    56    |          1           |      1      |           [2]           |
|   CONV2D   |      64     |     128      |   1    |   2    |    28   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |      64     |     128      |   3    |   1    |   112   |   112    |          1           |      1      |           [2]           |
|   CONV2D   |      64     |     128      |   3    |   2    |    56   |    28    |          1           |      1      |           [2]           |
|   CONV2D   |      64     |     192      |   5    |   1    |    27   |    27    |          1           |      1      |           [2]           |
|   CONV2D   |      64     |      64      |   3    |   1    |   224   |   224    |          1           |      1      |           [1]           |
|   CONV2D   |      64     |      64      |   3    |   1    |    56   |    56    |          1           |      4      |           [5]           |
|   CONV2D   |     672     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     672     |     128      |   1    |   1    |    7    |    7     |          1           |      1      |           [2]           |
|   CONV2D   |     704     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     704     |     128      |   1    |   1    |    7    |    7     |          1           |      1      |           [2]           |
|   CONV2D   |     736     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     736     |     128      |   1    |   1    |    7    |    7     |          1           |      1      |           [2]           |
|   CONV2D   |     768     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     768     |     128      |   1    |   1    |    7    |    7     |          1           |      1      |           [2]           |
|   CONV2D   |     800     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     800     |     128      |   1    |   1    |    7    |    7     |          1           |      1      |           [2]           |
|   CONV2D   |     832     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     832     |     128      |   1    |   1    |    7    |    7     |          1           |      1      |           [2]           |
|   CONV2D   |     864     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     864     |     128      |   1    |   1    |    7    |    7     |          1           |      1      |           [2]           |
|   CONV2D   |     896     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     896     |     128      |   1    |   1    |    7    |    7     |          1           |      1      |           [2]           |
|   CONV2D   |     928     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     928     |     128      |   1    |   1    |    7    |    7     |          1           |      1      |           [2]           |
|   CONV2D   |     960     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     960     |     128      |   1    |   1    |    7    |    7     |          1           |      1      |           [2]           |
|   CONV2D   |      96     |     128      |   1    |   1    |    56   |    56    |          1           |      1      |           [2]           |
|   CONV2D   |     992     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     992     |     128      |   1    |   1    |    7    |    7     |          1           |      1      |           [2]           |
|  DROPOUT   |     256     |     256      |   -    |   -    |    6    |    6     |          1           |      1      |           [2]           |
|  DROPOUT   |     4096    |     4096     |   -    |   -    |    1    |    1     |          1           |      2      |           [3]           |
|  DROPOUT   |     4096    |     4096     |   -    |   -    |    6    |    6     |          1           |      1      |           [2]           |
|   LINEAR   |     1024    |     1000     |   -    |   -    |    7    |    7     |          1           |      1      |           [1]           |
|   LINEAR   |    25088    |     4096     |   -    |   -    |    1    |    1     |          1           |      1      |           [2]           |
|   LINEAR   |     4096    |     1000     |   -    |   -    |    1    |    1     |          1           |      1      |           [1]           |
|   LINEAR   |     4096    |     1000     |   -    |   -    |    6    |    6     |          1           |      1      |           [1]           |
|   LINEAR   |     4096    |     4096     |   -    |   -    |    1    |    1     |          1           |      1      |           [2]           |
|   LINEAR   |     4096    |     4096     |   -    |   -    |    6    |    6     |          1           |      1      |           [2]           |
|   LINEAR   |     512     |     1000     |   -    |   -    |    1    |    1     |          1           |      1      |           [1]           |
|   LINEAR   |     9216    |     4096     |   -    |   -    |    6    |    6     |          1           |      1      |           [2]           |
| MAXPOOL2D  |     128     |     128      |   2    |   2    |   112   |    56    |          1           |      1      |           [2]           |
| MAXPOOL2D  |     192     |     192      |   3    |   2    |    27   |    13    |          1           |      1      |           [2]           |
| MAXPOOL2D  |     256     |     256      |   2    |   2    |    56   |    28    |          1           |      1      |           [2]           |
| MAXPOOL2D  |     256     |     256      |   3    |   2    |    13   |    6     |          1           |      1      |           [2]           |
| MAXPOOL2D  |     512     |     512      |   2    |   2    |    14   |    7     |          1           |      1      |           [2]           |
| MAXPOOL2D  |     512     |     512      |   2    |   2    |    28   |    14    |          1           |      1      |           [2]           |
| MAXPOOL2D  |      64     |      64      |   2    |   2    |   224   |   112    |          1           |      1      |           [2]           |
| MAXPOOL2D  |      64     |      64      |   3    |   2    |   112   |    56    |          2           |      2      |          [2, 2]         |
| MAXPOOL2D  |      64     |      64      |   3    |   2    |    55   |    27    |          1           |      1      |           [2]           |
|    RELU    |     128     |     128      |   -    |   -    |   112   |   112    |          1           |      2      |           [3]           |
|    RELU    |     128     |     128      |   -    |   -    |    14   |    14    |          2           |      25     |         [1, 25]         |
|    RELU    |     128     |     128      |   -    |   -    |    28   |    28    |          2           |      14     |         [2, 14]         |
|    RELU    |     128     |     128      |   -    |   -    |    56   |    56    |          1           |      6      |           [7]           |
|    RELU    |     128     |     128      |   -    |   -    |    7    |    7     |          1           |      16     |           [17]          |
|    RELU    |     192     |     192      |   -    |   -    |    27   |    27    |          1           |      1      |           [2]           |
|    RELU    |     256     |     256      |   -    |   -    |    13   |    13    |          1           |      2      |           [3]           |
|    RELU    |     256     |     256      |   -    |   -    |    14   |    14    |          1           |      1      |           [2]           |
|    RELU    |     256     |     256      |   -    |   -    |    4    |    4     |          1           |      1      |           [1]           |
|    RELU    |     256     |     256      |   -    |   -    |    56   |    56    |          1           |      3      |           [3]           |
|    RELU    |     256     |     256      |   -    |   -    |    7    |    7     |          1           |      1      |           [2]           |
|    RELU    |      32     |      32      |   -    |   -    |    14   |    14    |          1           |      24     |           [25]          |
|    RELU    |      32     |      32      |   -    |   -    |    28   |    28    |          1           |      12     |           [13]          |
|    RELU    |      32     |      32      |   -    |   -    |    56   |    56    |          1           |      6      |           [7]           |
|    RELU    |      32     |      32      |   -    |   -    |    7    |    7     |          1           |      15     |           [16]          |
|    RELU    |     384     |     384      |   -    |   -    |    13   |    13    |          1           |      1      |           [2]           |
|    RELU    |     4096    |     4096     |   -    |   -    |    1    |    1     |          1           |      2      |           [3]           |
|    RELU    |     4096    |     4096     |   -    |   -    |    6    |    6     |          1           |      2      |           [4]           |
|    RELU    |     512     |     512      |   -    |   -    |    14   |    14    |          1           |      3      |           [2]           |
|    RELU    |     512     |     512      |   -    |   -    |    1    |    1     |          1           |      1      |           [1]           |
|    RELU    |     512     |     512      |   -    |   -    |    28   |    28    |          1           |      3      |           [3]           |
|    RELU    |     512     |     512      |   -    |   -    |    2    |    2     |          1           |      1      |           [2]           |
|    RELU    |     512     |     512      |   -    |   -    |    7    |    7     |          1           |      1      |           [2]           |
|    RELU    |      64     |      64      |   -    |   -    |   112   |   112    |          2           |      2      |          [2, 2]         |
|    RELU    |      64     |      64      |   -    |   -    |   224   |   224    |          1           |      2      |           [3]           |
|    RELU    |      64     |      64      |   -    |   -    |    55   |    55    |          1           |      1      |           [2]           |
|    RELU    |      64     |      64      |   -    |   -    |    56   |    56    |          2           |      3      |          [1, 2]         |
+------------+-------------+--------------+--------+--------+---------+----------+----------------------+-------------+-------------------------+
