|  Algorithm   | A-Gen | A-Cstm | A-Opt |    A-% |    L-Gen |   L-Cstm |    L-Opt |     L-% |      E-Gen |     E-Cstm |      E-Opt |     E-% | pD-Gen | pD-Cstm | pD-Opt |    pD-% | c2c-Opt-L | c2c-Cstm-L | noc_c2c diff-L | c2c-Opt-E | c2c-Cstm-E | noc_c2c diff-E |                                                                                                                                                                                                                                                                                   Debug-Gen |                                                                                                                                                                                                                                                                                  Debug-Cstm |                                                                                                                                                                                                                                                                                   Debug-Opt |      RE-Gen |    RE-Cstm |     RE-Opt |                                                                      DDR Latency-Gen |                                                                     DDR Latency-Cstm |                                                                      DDR Latency-Opt |
+--------------+-------+--------+-------+--------+----------+----------+----------+---------+------------+------------+------------+---------+--------+---------+--------+---------+-----------+------------+----------------+-----------+------------+----------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+--------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+
| Training set |       |        |       |        |          |          |          |         |            |            |            |         |        |         |        |         |           |            |                |           |            |                |                                                                                                                                                                                                                                                                                             |                                                                                                                                                                                                                                                                                             |                                                                                                                                                                                                                                                                                             |             |            |            |                                                                                      |                                                                                      |                                                                                      |
|  peanutRCNN  | 16.00 |   9.00 |  9.00 | 0.000% | 1099.881 | 1099.881 | 1099.881 |  0.000% | 101162.650 | 101162.650 | 101162.656 |  0.000% |  5.748 |  10.220 | 10.220 |  0.000% |   0.00354 |    0.00277 |          0.000 |   0.44507 |    0.34833 |         -0.000 | [['CONV2D', '0.000', '1060255032576000000.000'], ['LASTLEVELMAXPOOL', '0.000', '4915.200'], ['RELU', '0.000', '5.236'], ['ROIALIGN', '0.000', '1.912'], ['FLATTEN', '0.000', '1000000.000'], ['LINEAR', '0.000', '13940736000000.000'], ['CONVTRANSPOSE2D', '0.000', '12845056000000.000']] | [['CONV2D', '0.000', '1060255032576000000.000'], ['LASTLEVELMAXPOOL', '0.000', '4915.200'], ['RELU', '0.000', '5.236'], ['ROIALIGN', '0.000', '1.912'], ['FLATTEN', '0.000', '1000000.000'], ['LINEAR', '0.000', '13940736000000.000'], ['CONVTRANSPOSE2D', '0.000', '12845056000000.000']] | [['CONV2D', '0.000', '1060255032576000000.000'], ['LASTLEVELMAXPOOL', '0.000', '4915.200'], ['RELU', '0.000', '5.236'], ['ROIALIGN', '0.000', '1.912'], ['FLATTEN', '0.000', '1000000.000'], ['LINEAR', '0.000', '13940736000000.000'], ['CONVTRANSPOSE2D', '0.000', '12845056000000.000']] | 1173467.263 | 840622.301 | 841238.962 | [84989496386.25, 12597067.5, 13300.0, 4440.0, 2327.5, 1116267.5, 1032254.9999999999] | [84989496386.25, 12597067.5, 13300.0, 4440.0, 2327.5, 1116267.5, 1032254.9999999999] | [84989496386.25, 12597067.5, 13300.0, 4440.0, 2327.5, 1116267.5, 1032254.9999999999] |
| mobilenetv2  | 16.00 |   6.25 |  6.25 | 0.000% |    1.065 |    1.065 |    1.052 | -1.233% |     69.890 |     69.890 |     67.635 | -3.227% |  4.103 |  10.503 | 10.291 | -2.018% |   0.00164 |    0.31692 |          0.000 |   0.20639 |   39.97682 |         -0.000 |                                                                                                                                                                       [['CONV2D', '0.000', '299494272000000.000'], ['RELU6', '0.000', '381.612'], ['LINEAR', '0.000', '1280000000000.000']] |                                                                                                                                                                       [['CONV2D', '0.000', '299494272000000.000'], ['RELU6', '0.000', '381.612'], ['LINEAR', '0.000', '1280000000000.000']] |                                                                                                                                                                       [['CONV2D', '0.000', '299494272000000.000'], ['RELU6', '0.000', '381.612'], ['LINEAR', '0.000', '1280000000000.000']] | 1173467.263 | 567826.888 | 568443.550 |                                                    [25109432.5, 972972.5, 102426.25] |                                                    [25109432.5, 972972.5, 102426.25] |                                                    [25109432.5, 972972.5, 102426.25] |
|    swint     | 16.00 |   6.25 |  6.25 | 0.000% |    6.492 |    6.479 |    6.481 |  0.030% |    524.447 |    522.326 |    522.663 |  0.065% |  5.049 |  12.898 | 12.902 |  0.034% |   0.05694 |    0.00982 |          0.000 |   7.18221 |    1.23831 |          0.000 |                                                   [['CONV2D', '0.000', '14450688000000.000'], ['PERMUTE', '0.000', '2000000.000'], ['LINEAR', '0.000', '4893063168000000.000'], ['GELU', '0.000', '357.504'], ['ADAPTIVEAVGPOOL2D', '0.000', '2.352'], ['FLATTEN', '0.000', '1000000.000']] |                                                   [['CONV2D', '0.000', '14450688000000.000'], ['PERMUTE', '0.000', '2000000.000'], ['LINEAR', '0.000', '4893063168000000.000'], ['GELU', '0.000', '357.504'], ['ADAPTIVEAVGPOOL2D', '0.000', '2.352'], ['FLATTEN', '0.000', '1000000.000']] |                                                   [['CONV2D', '0.000', '14450688000000.000'], ['PERMUTE', '0.000', '2000000.000'], ['LINEAR', '0.000', '4893063168000000.000'], ['GELU', '0.000', '357.504'], ['ADAPTIVEAVGPOOL2D', '0.000', '2.352'], ['FLATTEN', '0.000', '1000000.000']] | 1173467.263 | 567852.978 | 568443.550 |      [1191829.9999999998, 54127.5, 4277316.25, 915895.0, 5902.5, 150757.50000000003] |      [1191829.9999999998, 54127.5, 4277316.25, 915895.0, 5902.5, 150757.50000000003] |      [1191829.9999999998, 54127.5, 4277316.25, 915895.0, 5902.5, 150757.50000000003] |
|  squeezenet  | 16.00 |   4.00 |  4.00 | 0.000% |    0.778 |    0.772 |    0.772 |  0.000% |     50.339 |     49.324 |     49.324 |  0.000% |  4.042 |  15.965 | 15.965 |  0.000% |   0.00000 |    0.00000 |          0.000 |   0.00000 |    0.00000 |          0.000 |                                                                                                                                       [['CONV2D', '0.000', '349151936000000.000'], ['RELU', '0.000', '161.835'], ['MAXPOOL2D', '0.000', '16.368'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.063']] |                                                                                                                                       [['CONV2D', '0.000', '349151936000000.000'], ['RELU', '0.000', '161.835'], ['MAXPOOL2D', '0.000', '16.368'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.063']] |                                                                                                                                       [['CONV2D', '0.000', '349151936000000.000'], ['RELU', '0.000', '161.835'], ['MAXPOOL2D', '0.000', '16.368'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.063']] | 1173467.263 | 373871.859 | 373879.469 |                                           [28265055.0, 410080.0, 106268.75, 13497.5] |                                           [28265055.0, 410080.0, 106268.75, 13497.5] |                                           [28265055.0, 410080.0, 106268.75, 13497.5] |
|     edsr     | 16.00 |   4.00 |  4.00 | 0.000% |   69.383 |   69.271 |   69.271 |  0.000% |   6215.162 |   6195.989 |   6195.989 |  0.000% |  5.599 |  22.361 | 22.361 |  0.000% |   0.00000 |    0.00000 |          0.000 |   0.00000 |    0.00000 |          0.000 |                                                                                                                                      [['MEANSHIFT', '0.000', '18.816'], ['CONV2D', '0.000', '61213114368000000.000'], ['RELU', '0.000', '3211.264'], ['UPSAMPLER', '0.000', '1000000.000']] |                                                                                                                                      [['MEANSHIFT', '0.000', '18.816'], ['CONV2D', '0.000', '61213114368000000.000'], ['RELU', '0.000', '3211.264'], ['UPSAMPLER', '0.000', '1000000.000']] |                                                                                                                                      [['MEANSHIFT', '0.000', '18.816'], ['CONV2D', '0.000', '61213114368000000.000'], ['RELU', '0.000', '3211.264'], ['UPSAMPLER', '0.000', '1000000.000']] | 1173467.263 | 373829.789 | 373879.469 |             [47890.00000000001, 4913213260.0, 8228840.000000001, 514302.50000000006] |             [47890.00000000001, 4913213260.0, 8228840.000000001, 514302.50000000006] |             [47890.00000000001, 4913213260.0, 8228840.000000001, 514302.50000000006] |
|   chronos    | 16.00 |   4.00 |  4.00 | 0.000% |    4.710 |    4.705 |    4.705 |  0.000% |    443.867 |    443.109 |    443.109 |  0.000% |  5.890 |  23.542 | 23.542 |  0.000% |   0.00000 |    0.00000 |          0.000 |   0.00000 |    0.00000 |          0.000 |                                                                                                                                                                                                                 [['LINEAR', '0.000', '3758096384000000.000'], ['RELU', '0.000', '163.840']] |                                                                                                                                                                                                                 [['LINEAR', '0.000', '3758096384000000.000'], ['RELU', '0.000', '163.840']] |                                                                                                                                                                                                                 [['LINEAR', '0.000', '3758096384000000.000'], ['RELU', '0.000', '163.840']] | 1173467.263 | 373822.179 | 374361.821 |                                                                [2425940.0, 167060.0] |                                                                [2425940.0, 167060.0] |                                                                [2425940.0, 167060.0] |
|  mobilevit   | 16.00 |   6.25 |  6.25 | 0.000% |    2.443 |    2.417 |    2.417 |  0.000% |    160.103 |    155.611 |    155.611 |  0.000% |  4.096 |  10.301 | 10.301 |  0.000% |   0.00507 |    0.00507 |          0.000 |   0.63906 |    0.63906 |          0.000 |                                                                                                                                                                        [['CONV2D', '0.000', '807456768000000.000'], ['SILU', '0.000', '754.132'], ['LINEAR', '0.000', '3889152000000.000']] |                                                                                                                                                                        [['CONV2D', '0.000', '807456768000000.000'], ['SILU', '0.000', '754.132'], ['LINEAR', '0.000', '3889152000000.000']] |                                                                                                                                                                        [['CONV2D', '0.000', '807456768000000.000'], ['SILU', '0.000', '754.132'], ['LINEAR', '0.000', '3889152000000.000']] | 1173467.263 | 567826.888 | 568443.550 |                                                    [66230205.0, 1415577.5, 232835.0] |                                                    [66230205.0, 1415577.5, 232835.0] |                                                    [66230205.0, 1415577.5, 232835.0] |
|  convtasnet  | 16.00 |   6.25 |  6.25 | 0.000% |    3.414 |    3.414 |    3.414 |  0.000% |    167.616 |    167.616 |    167.616 |  0.000% |  3.069 |   7.856 |  7.856 |  0.000% |   0.00705 |    0.00705 |          0.000 |   0.88956 |    0.88956 |          0.000 |                                                                                                                                  [['CONV1D', '0.000', '1292206080000000.000'], ['PRELU', '0.000', '407.616'], ['RELU', '0.000', '16.896'], ['CONVTRANSPOSE1D', '0.000', '49152000000.000']] |                                                                                                                                  [['CONV1D', '0.000', '1292206080000000.000'], ['PRELU', '0.000', '407.616'], ['RELU', '0.000', '16.896'], ['CONVTRANSPOSE1D', '0.000', '49152000000.000']] |                                                                                                                                  [['CONV1D', '0.000', '1292206080000000.000'], ['PRELU', '0.000', '407.616'], ['RELU', '0.000', '16.896'], ['CONVTRANSPOSE1D', '0.000', '49152000000.000']] | 1173467.263 | 567826.888 | 567826.888 |                       [104871153.75, 1039462.4999999998, 43067.49999999999, 14617.5] |                       [104871153.75, 1039462.4999999998, 43067.49999999999, 14617.5] |                       [104871153.75, 1039462.4999999998, 43067.49999999999, 14617.5] |
|    effnet    | 16.00 |   6.25 |  6.25 | 0.000% |    1.182 |    1.173 |    1.171 | -0.214% |     78.037 |     76.620 |     76.188 | -0.564% |  4.127 |  10.447 | 10.410 | -0.350% |   0.00164 |    0.06204 |         -0.000 |   0.20639 |    7.82569 |         -0.000 |                                                                                                [['CONV2D', '0.000', '384534752000000.000'], ['SILU', '0.000', '385.406'], ['ADAPTIVEAVGPOOL2D', '0.000', '4.480'], ['SIGMOID', '0.000', '0.390'], ['LINEAR', '0.000', '1280000000000.000']] |                                                                                                [['CONV2D', '0.000', '384534752000000.000'], ['SILU', '0.000', '385.406'], ['ADAPTIVEAVGPOOL2D', '0.000', '4.480'], ['SIGMOID', '0.000', '0.390'], ['LINEAR', '0.000', '1280000000000.000']] |                                                                                                [['CONV2D', '0.000', '384534752000000.000'], ['SILU', '0.000', '385.406'], ['ADAPTIVEAVGPOOL2D', '0.000', '4.480'], ['SIGMOID', '0.000', '0.390'], ['LINEAR', '0.000', '1280000000000.000']] | 1173467.263 | 567946.488 | 568443.550 |                                   [31925040.0, 982100.0, 11642.5, 1820.0, 102426.25] |                                   [31925040.0, 982100.0, 11642.5, 1820.0, 102426.25] |                                   [31925040.0, 982100.0, 11642.5, 1820.0, 102426.25] |
|  mobilellm   | 16.00 |   4.00 |  4.00 | 0.000% |   19.529 |   19.529 |   19.529 |  0.000% |   2717.966 |   2717.966 |   2717.966 |  0.000% |  8.698 |  34.794 | 34.794 |  0.000% |   0.00000 |    0.00000 |          0.000 |   0.00000 |    0.00000 |          0.000 |                                                                                                                                                                                                               [['LINEAR', '0.000', '13589544960000000.000'], ['SILU', '0.000', '4147.200']] |                                                                                                                                                                                                               [['LINEAR', '0.000', '13589544960000000.000'], ['SILU', '0.000', '4147.200']] |                                                                                                                                                                                                               [['LINEAR', '0.000', '13589544960000000.000'], ['SILU', '0.000', '4147.200']] | 1173467.263 | 373822.179 | 374361.821 |                                                              [11620018.75, 354230.0] |                                                              [11620018.75, 354230.0] |                                                              [11620018.75, 354230.0] |
|     opt      | 16.00 |   4.00 |  4.00 | 0.000% |    5.836 |    5.834 |    5.834 |  0.000% |   1285.037 |   1284.597 |   1284.597 |  0.000% | 13.761 |  55.050 | 55.050 |  0.000% |   0.00000 |    0.00000 |          0.000 |   0.00000 |    0.00000 |          0.000 |                                                                                                                                                                                                                [['LINEAR', '0.000', '10871635968000000.000'], ['RELU', '0.000', '884.736']] |                                                                                                                                                                                                                [['LINEAR', '0.000', '10871635968000000.000'], ['RELU', '0.000', '884.736']] |                                                                                                                                                                                                                [['LINEAR', '0.000', '10871635968000000.000'], ['RELU', '0.000', '884.736']] | 1173467.263 | 373822.179 | 374361.821 |                                                                [8491967.5, 188657.5] |                                                                [8491967.5, 188657.5] |                                                                [8491967.5, 188657.5] |
|    gptneo    | 16.00 |   4.00 |  4.00 | 0.000% |    6.159 |    6.158 |    6.158 |  0.000% |   1325.095 |   1324.875 |   1324.875 |  0.000% | 13.446 |  53.786 | 53.786 |  0.000% |   0.00000 |    0.00000 |          0.000 |   0.00000 |    0.00000 |          0.000 |                                                                                                                                                                                                                [['LINEAR', '0.000', '10871635968000000.000'], ['GELU', '0.000', '884.736']] |                                                                                                                                                                                                                [['LINEAR', '0.000', '10871635968000000.000'], ['GELU', '0.000', '884.736']] |                                                                                                                                                                                                                [['LINEAR', '0.000', '10871635968000000.000'], ['GELU', '0.000', '884.736']] | 1173467.263 | 373822.179 | 374361.821 |                                                                [8491967.5, 188657.5] |                                                                [8491967.5, 188657.5] |                                                                [8491967.5, 188657.5] |
|  distilbert  | 16.00 |   4.00 |  4.00 | 0.000% |   44.680 |   43.939 |   43.939 |  0.000% |   2813.119 |   2685.754 |   2685.754 |  0.000% |  3.935 |  15.281 | 15.281 |  0.000% |   0.00000 |    0.00000 |          0.000 |   0.00000 |    0.00000 |          0.000 |                                                                                                                                                                       [['LINEAR', '0.000', '2592079872000000.000'], ['RELU', '0.000', '23592.960'], ['MOBILEBERTPOOLER', '0.000', '1.024']] |                                                                                                                                                                       [['LINEAR', '0.000', '2592079872000000.000'], ['RELU', '0.000', '23592.960'], ['MOBILEBERTPOOLER', '0.000', '1.024']] |                                                                                                                                                                       [['LINEAR', '0.000', '2592079872000000.000'], ['RELU', '0.000', '23592.960'], ['MOBILEBERTPOOLER', '0.000', '1.024']] | 1173467.263 | 373847.019 | 374361.821 |                                                      [3703838.75, 1007365.0, 2582.5] |                                                      [3703838.75, 1007365.0, 2582.5] |                                                      [3703838.75, 1007365.0, 2582.5] |
|    vgg11     | 16.00 |   6.25 |  6.25 | 0.000% |   11.559 |   11.541 |   11.541 |  0.000% |    760.919 |    757.872 |    757.872 |  0.000% |  4.114 |  10.506 | 10.506 |  0.000% |   0.00108 |    0.00108 |          0.000 |   0.13647 |    0.13647 |          0.000 |                                                                                          [['CONV2D', '0.000', '7485456384000000.000'], ['RELU', '0.000', '464.640'], ['MAXPOOL2D', '0.000', '95.648'], ['ADAPTIVEAVGPOOL2D', '0.000', '1.568'], ['LINEAR', '0.000', '123633664000000.000']] |                                                                                          [['CONV2D', '0.000', '7485456384000000.000'], ['RELU', '0.000', '464.640'], ['MAXPOOL2D', '0.000', '95.648'], ['ADAPTIVEAVGPOOL2D', '0.000', '1.568'], ['LINEAR', '0.000', '123633664000000.000']] |                                                                                          [['CONV2D', '0.000', '7485456384000000.000'], ['RELU', '0.000', '464.640'], ['MAXPOOL2D', '0.000', '95.648'], ['ADAPTIVEAVGPOOL2D', '0.000', '1.568'], ['LINEAR', '0.000', '123633664000000.000']] | 1173467.263 | 567851.728 | 568443.550 |                               [599503615.0, 1190755.0, 612251.25, 3942.5, 9891185.0] |                               [599503615.0, 1190755.0, 612251.25, 3942.5, 9891185.0] |                               [599503615.0, 1190755.0, 612251.25, 3942.5, 9891185.0] |
+--------------+-------+--------+-------+--------+----------+----------+----------+---------+------------+------------+------------+---------+--------+---------+--------+---------+-----------+------------+----------------+-----------+------------+----------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+--------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+
