+-------------------------+-----------+-------------------+--------------------+---------------------------+----------------------------+------------------+--------+--------------------+
|        Layer Type       | Frequency | Input_Volume (MB) | Output_Volume (MB) | Input Degree-Connectivity | Output Degree-Connectivity | Promixity Factor | GFLOPs | Parameter_size(MB) |
|   CONV2D_14_14_640_128  |     1     |       0.1254      |       0.0251       |             1             |             1              |       0.0        | 0.0419 |       0.082        |
|   CONV2D_14_14_672_128  |     1     |       0.1317      |       0.0251       |             1             |             1              |       0.0        | 0.044  |       0.0861       |
|   CONV2D_14_14_704_128  |     1     |       0.138       |       0.0251       |             1             |             1              |       0.0        | 0.0461 |       0.0902       |
|   CONV2D_14_14_736_128  |     1     |       0.1443      |       0.0251       |             1             |             1              |       0.0        | 0.0482 |       0.0943       |
|   CONV2D_14_14_768_128  |     1     |       0.1505      |       0.0251       |             1             |             1              |       0.0        | 0.0503 |       0.0984       |
|   CONV2D_14_14_800_128  |     1     |       0.1568      |       0.0251       |             1             |             1              |       0.0        | 0.0524 |       0.1025       |
|   CONV2D_14_14_832_128  |     1     |       0.1631      |       0.0251       |             1             |             1              |       0.0        | 0.0545 |       0.1066       |
|   CONV2D_14_14_864_128  |     1     |       0.1693      |       0.0251       |             1             |             1              |       0.0        | 0.0566 |       0.1107       |
|   CONV2D_14_14_896_128  |     1     |       0.1756      |       0.0251       |             1             |             1              |       0.0        | 0.0587 |       0.1148       |
|   CONV2D_14_14_928_128  |     1     |       0.1819      |       0.0251       |             1             |             1              |       0.0        | 0.0608 |       0.1189       |
|   CONV2D_14_14_960_128  |     1     |       0.1882      |       0.0251       |             1             |             1              |       0.0        | 0.0629 |       0.123        |
|   CONV2D_14_14_992_128  |     1     |       0.1944      |       0.0251       |             1             |             1              |       0.0        | 0.065  |       0.1271       |
|  CONV2D_14_14_1024_512  |     1     |       0.2007      |       0.1004       |             1             |             1              |       0.0        | 0.2684 |       0.5248       |
|  AVGPOOL2D_14_7_512_512 |     1     |       0.1004      |       0.0251       |             1             |             1              |       0.0        |  0.0   |         0          |
|     RELU_7_7_512_512    |     1     |       0.0251      |       0.0251       |             1             |             1              |       0.0        |  0.0   |         0          |
|    CONV2D_7_7_512_128   |     1     |       0.0251      |       0.0063       |             1             |             1              |       0.0        | 0.0106 |       0.0657       |
|     RELU_7_7_128_128    |     16    |       0.0063      |       0.0063       |             16            |             1              |       4.0        |  0.0   |         0          |
|    CONV2D_7_7_128_32    |     16    |       0.0063      |       0.0016       |             1             |             2              |       4.0        | 0.0036 |       0.0369       |
|      RELU_7_7_32_32     |     15    |       0.0016      |       0.0016       |             1             |             15             |       4.0        |  0.0   |         0          |
|    CONV2D_7_7_544_128   |     1     |       0.0267      |       0.0063       |             1             |             1              |       0.0        | 0.0113 |       0.0698       |
|    CONV2D_7_7_576_128   |     1     |       0.0282      |       0.0063       |             1             |             1              |       0.0        | 0.0119 |       0.0739       |
|    CONV2D_7_7_608_128   |     1     |       0.0298      |       0.0063       |             1             |             1              |       0.0        | 0.0126 |       0.078        |
|    CONV2D_7_7_640_128   |     1     |       0.0314      |       0.0063       |             1             |             1              |       0.0        | 0.0133 |       0.082        |
|    CONV2D_7_7_672_128   |     1     |       0.0329      |       0.0063       |             1             |             1              |       0.0        | 0.0139 |       0.0861       |
|    CONV2D_7_7_704_128   |     1     |       0.0345      |       0.0063       |             1             |             1              |       0.0        | 0.0146 |       0.0902       |
|    CONV2D_7_7_736_128   |     1     |       0.0361      |       0.0063       |             1             |             1              |       0.0        | 0.0153 |       0.0943       |
|    CONV2D_7_7_768_128   |     1     |       0.0376      |       0.0063       |             1             |             1              |       0.0        | 0.0159 |       0.0984       |
|    CONV2D_7_7_800_128   |     1     |       0.0392      |       0.0063       |             1             |             1              |       0.0        | 0.0166 |       0.1025       |
|    CONV2D_7_7_832_128   |     1     |       0.0408      |       0.0063       |             1             |             1              |       0.0        | 0.0173 |       0.1066       |
|    CONV2D_7_7_864_128   |     1     |       0.0423      |       0.0063       |             1             |             1              |       0.0        | 0.0179 |       0.1107       |
|    CONV2D_7_7_896_128   |     1     |       0.0439      |       0.0063       |             1             |             1              |       0.0        | 0.0186 |       0.1148       |
|    CONV2D_7_7_928_128   |     1     |       0.0455      |       0.0063       |             1             |             1              |       0.0        | 0.0192 |       0.1189       |
|    CONV2D_7_7_960_128   |     1     |       0.047       |       0.0063       |             1             |             1              |       0.0        | 0.0199 |       0.123        |
|    CONV2D_7_7_992_128   |     1     |       0.0486      |       0.0063       |             1             |             1              |       0.0        | 0.0206 |       0.1271       |
|   LINEAR_7_7_1024_1000  |     1     |       0.0502      |       0.049        |             1             |             0              |       0.0        | 0.002  |       1.025        |
|          Total          |           |                   |                    |                           |                            |                  | 4.296  |       5.913        |
+-------------------------+-----------+-------------------+--------------------+---------------------------+----------------------------+------------------+--------+--------------------+
